[2338, 1654]
[paragraph, [184.0, 180.0, 1286.0, 36.0], shoonya_1sJRPTE7I24OG2, 5754226]
[paragraph, [184.0, 216.0, 1286.0, 36.0], shoonya_1sJRPTE7I24OG2, 5754226]
[paragraph, [184.0, 252.0, 1286.0, 36.0], shoonya_1sJRPTE7I24OG2, 5754226]
[paragraph, [187.0, 320.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 356.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 392.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 428.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 464.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 500.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 536.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 572.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 608.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 644.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 680.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 716.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 752.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 788.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 824.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 860.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 896.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 932.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 968.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 1004.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [187.0, 1040.0, 1276.0, 36.0], KtTYcSfNKi, 5754226]
[paragraph, [186.0, 1110.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1146.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1182.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1218.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1254.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1290.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1326.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1362.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1398.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1434.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1470.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1506.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1542.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1578.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1614.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1650.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1686.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1722.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1758.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1794.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1830.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1866.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1902.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1938.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 1974.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 2010.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
[paragraph, [186.0, 2046.0, 1285.0, 36.0], shoonya_0s5N10GKQCBHZX, 5754226]
