[1755, 1240]
[paragraph, [179.0, 187.0, 879.0, 36.0], UnnJATFuEL, 5703520]
[paragraph, [179.0, 223.0, 879.0, 36.0], UnnJATFuEL, 5703520]
[paragraph, [179.0, 259.0, 879.0, 36.0], UnnJATFuEL, 5703520]
[paragraph, [179.0, 295.0, 879.0, 36.0], UnnJATFuEL, 5703520]
[section-title, [182.0, 384.0, 513.0, 49.5], shoonya_3s99Q6Z75DYV16, 5703520]
[paragraph, [177.0, 474.0, 884.0, 36.0], shoonya_1sDQ16ALO1TPQW, 5703520]
[paragraph, [177.0, 510.0, 884.0, 36.0], shoonya_1sDQ16ALO1TPQW, 5703520]
[paragraph, [177.0, 546.0, 884.0, 36.0], shoonya_1sDQ16ALO1TPQW, 5703520]
[paragraph, [177.0, 582.0, 884.0, 36.0], shoonya_1sDQ16ALO1TPQW, 5703520]
[paragraph, [177.0, 618.0, 884.0, 36.0], shoonya_1sDQ16ALO1TPQW, 5703520]
[paragraph, [177.0, 654.0, 884.0, 36.0], shoonya_1sDQ16ALO1TPQW, 5703520]
[paragraph, [177.0, 690.0, 884.0, 36.0], shoonya_1sDQ16ALO1TPQW, 5703520]
[paragraph, [177.0, 726.0, 884.0, 36.0], shoonya_1sDQ16ALO1TPQW, 5703520]
[paragraph, [177.0, 762.0, 884.0, 36.0], shoonya_1sDQ16ALO1TPQW, 5703520]
[paragraph, [179.0, 835.0, 881.0, 36.0], shoonya_2sSHZDD4M23TJ2, 5703520]
[paragraph, [179.0, 871.0, 881.0, 36.0], shoonya_2sSHZDD4M23TJ2, 5703520]
[paragraph, [179.0, 907.0, 881.0, 36.0], shoonya_2sSHZDD4M23TJ2, 5703520]
[paragraph, [179.0, 943.0, 881.0, 36.0], shoonya_2sSHZDD4M23TJ2, 5703520]
[paragraph, [179.0, 979.0, 881.0, 36.0], shoonya_2sSHZDD4M23TJ2, 5703520]
[paragraph, [179.0, 1015.0, 881.0, 36.0], shoonya_2sSHZDD4M23TJ2, 5703520]
[paragraph, [179.0, 1051.0, 881.0, 36.0], shoonya_2sSHZDD4M23TJ2, 5703520]
[paragraph, [179.0, 1087.0, 881.0, 36.0], shoonya_2sSHZDD4M23TJ2, 5703520]
[paragraph, [179.0, 1123.0, 881.0, 36.0], shoonya_2sSHZDD4M23TJ2, 5703520]
[paragraph, [179.0, 1203.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
[paragraph, [179.0, 1239.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
[paragraph, [179.0, 1275.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
[paragraph, [179.0, 1311.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
[paragraph, [179.0, 1347.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
[paragraph, [179.0, 1383.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
[paragraph, [179.0, 1419.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
[paragraph, [179.0, 1455.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
[paragraph, [179.0, 1491.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
[paragraph, [179.0, 1527.0, 878.0, 36.0], shoonya_0sEKFI0ZMFAXED, 5703520]
