[1241, 798]
[folio, [572.0, 66.0, 132.0, 18.0], shoonya_6sU64JA7278NJ2, 5701682]
[paragraph, [87.0, 112.0, 618.0, 18.0], shoonya_4sXSTIPKRXJ8T1, 5701682]
[paragraph, [87.0, 130.0, 618.0, 18.0], shoonya_4sXSTIPKRXJ8T1, 5701682]
[paragraph, [87.0, 148.0, 618.0, 18.0], shoonya_4sXSTIPKRXJ8T1, 5701682]
[paragraph, [87.0, 166.0, 618.0, 18.0], shoonya_4sXSTIPKRXJ8T1, 5701682]
[paragraph, [87.0, 184.0, 618.0, 18.0], shoonya_4sXSTIPKRXJ8T1, 5701682]
[paragraph, [87.0, 202.0, 618.0, 18.0], shoonya_4sXSTIPKRXJ8T1, 5701682]
[paragraph, [87.0, 220.0, 618.0, 18.0], shoonya_4sXSTIPKRXJ8T1, 5701682]
[paragraph, [87.0, 238.0, 618.0, 18.0], shoonya_4sXSTIPKRXJ8T1, 5701682]
[paragraph, [86.0, 270.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 288.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 306.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 324.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 342.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 360.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 378.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 396.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 414.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 432.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 450.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 468.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 486.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 504.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 522.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 540.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [86.0, 558.0, 619.0, 18.0], shoonya_1sK508RBCZEP6Z, 5701682]
[paragraph, [87.0, 605.0, 616.0, 18.0], shoonya_5sMJP2TQ4MNZ7G, 5701682]
[paragraph, [87.0, 623.0, 616.0, 18.0], shoonya_5sMJP2TQ4MNZ7G, 5701682]
[paragraph, [87.0, 641.0, 616.0, 18.0], shoonya_5sMJP2TQ4MNZ7G, 5701682]
[paragraph, [87.0, 659.0, 616.0, 18.0], shoonya_5sMJP2TQ4MNZ7G, 5701682]
[paragraph, [87.0, 677.0, 616.0, 18.0], shoonya_5sMJP2TQ4MNZ7G, 5701682]
[paragraph, [87.0, 695.0, 616.0, 18.0], shoonya_5sMJP2TQ4MNZ7G, 5701682]
[paragraph, [87.0, 713.0, 616.0, 18.0], shoonya_5sMJP2TQ4MNZ7G, 5701682]
[paragraph, [85.0, 763.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 781.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 799.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 817.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 835.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 853.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 871.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 889.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 907.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 925.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 943.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 961.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 979.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 997.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [85.0, 1015.0, 620.0, 18.0], shoonya_0sEOPPTYNNKPTZ, 5701682]
[paragraph, [88.0, 1058.0, 617.0, 18.0], shoonya_3sLNKVOOIF0HZ8, 5701682]
[paragraph, [88.0, 1076.0, 617.0, 18.0], shoonya_3sLNKVOOIF0HZ8, 5701682]
[paragraph, [88.0, 1094.0, 617.0, 18.0], shoonya_3sLNKVOOIF0HZ8, 5701682]
[paragraph, [88.0, 1112.0, 617.0, 18.0], shoonya_3sLNKVOOIF0HZ8, 5701682]
[paragraph, [88.0, 1130.0, 617.0, 18.0], shoonya_3sLNKVOOIF0HZ8, 5701682]
