[2061, 1233]
[paragraph, [155.0, 139.0, 953.0, 36.0], O8Lxl_E4-G, 5691755]
[paragraph, [155.0, 175.0, 953.0, 36.0], O8Lxl_E4-G, 5691755]
[paragraph, [155.0, 211.0, 953.0, 36.0], O8Lxl_E4-G, 5691755]
[paragraph, [217.0, 261.0, 687.0, 36.0], 7jw_kF5g09, 5691755]
[paragraph, [162.0, 320.0, 942.0, 36.0], pvIbmKJ-w5, 5691755]
[paragraph, [162.0, 356.0, 942.0, 36.0], pvIbmKJ-w5, 5691755]
[paragraph, [163.0, 428.0, 245.0, 36.0], shoonya_2sSXQLSL5SGTTL, 5691755]
[paragraph, [214.0, 486.0, 155.0, 36.0], onDInjJEvC, 5691755]
[paragraph, [212.0, 534.0, 627.0, 36.0], sICVatmarD, 5691755]
[paragraph, [208.0, 591.0, 720.0, 36.0], EzJuLH7xZ_, 5691755]
[paragraph, [164.0, 651.0, 932.0, 36.0], y3lgCBpwCG, 5691755]
[paragraph, [164.0, 687.0, 932.0, 36.0], y3lgCBpwCG, 5691755]
[paragraph, [118.0, 760.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 796.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 832.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 868.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 904.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 940.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 976.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1012.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1048.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1084.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1120.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1156.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1192.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1228.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1264.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1300.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1336.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1372.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1408.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1444.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1480.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1516.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1552.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1588.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1624.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1660.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [118.0, 1696.0, 972.0, 36.0], shoonya_0s7NJRQ2BQFBFE, 5691755]
[paragraph, [116.0, 1754.0, 960.0, 36.0], rfc3Bc6nho, 5691755]
[paragraph, [116.0, 1790.0, 960.0, 36.0], rfc3Bc6nho, 5691755]
[paragraph, [116.0, 1826.0, 960.0, 36.0], rfc3Bc6nho, 5691755]
