[1263, 719]
[folio, [37.0, 31.0, 122.0, 18.0], shoonya_3s332X0W4YQ8OT, 5781685]
[folio, [37.0, 49.0, 122.0, 18.0], shoonya_3s332X0W4YQ8OT, 5781685]
[section-title, [80.0, 81.0, 572.0, 30.0], ngO6RhyCPg, 5781685]
[paragraph, [25.0, 122.0, 665.0, 18.0], WG5Ocv33at, 5781685]
[paragraph, [25.0, 140.0, 665.0, 18.0], WG5Ocv33at, 5781685]
[ordered-list, [25.0, 177.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 195.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 213.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 231.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 249.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 267.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 285.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 303.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 321.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 339.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 357.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 375.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 393.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 411.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 429.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 447.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 465.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 483.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 501.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 519.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 537.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 555.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 573.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 591.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 609.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 627.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 645.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 663.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 681.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 699.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 717.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 735.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[ordered-list, [25.0, 753.0, 663.0, 18.0], shoonya_0sLAWUX8HHM560, 5781685]
[sub-ordered-list, [25.0, 361.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 379.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 397.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 415.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 433.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 451.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 469.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 487.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 505.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 523.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 541.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 559.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 577.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 595.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 613.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 631.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 649.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 667.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 685.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 703.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 721.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 739.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[sub-ordered-list, [25.0, 757.0, 664.0, 18.0], rsHi2vF67A, 5781685]
[ordered-list, [12.0, 789.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 807.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 825.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 843.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 861.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 879.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 897.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 915.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 933.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 951.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 969.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 987.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1005.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1023.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1041.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1059.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1077.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1095.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1113.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1131.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1149.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[ordered-list, [12.0, 1167.0, 675.0, 18.0], UrEiTU0x03, 5781685]
[sub-ordered-list, [12.0, 824.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 842.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 860.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 878.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 896.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 914.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 932.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 950.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 968.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 986.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1004.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1022.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1040.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1058.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1076.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1094.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1112.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1130.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1148.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[sub-ordered-list, [12.0, 1166.0, 676.0, 18.0], OjXAiNzrRR, 5781685]
[subsub-ordered-list, [13.0, 1044.0, 695.0, 18.0], N5r7jspFOW, 5781685]
[subsub-ordered-list, [13.0, 1062.0, 695.0, 18.0], N5r7jspFOW, 5781685]
[subsub-ordered-list, [13.0, 1080.0, 695.0, 18.0], N5r7jspFOW, 5781685]
[subsub-ordered-list, [13.0, 1098.0, 695.0, 18.0], N5r7jspFOW, 5781685]
[subsub-ordered-list, [13.0, 1116.0, 695.0, 18.0], N5r7jspFOW, 5781685]
[subsub-ordered-list, [13.0, 1134.0, 695.0, 18.0], N5r7jspFOW, 5781685]
[subsub-ordered-list, [13.0, 1152.0, 695.0, 18.0], N5r7jspFOW, 5781685]
[subsub-ordered-list, [13.0, 1170.0, 695.0, 18.0], N5r7jspFOW, 5781685]
