[2481, 1654]
[folio, [1188.0, 106.0, 117.0, 36.0], shoonya_2sXQKBFMWUJ7II, 5721159]
[paragraph, [167.0, 217.0, 1277.0, 36.0], MyJEu9pjdK, 5721159]
[paragraph, [167.0, 253.0, 1277.0, 36.0], MyJEu9pjdK, 5721159]
[paragraph, [167.0, 289.0, 1277.0, 36.0], MyJEu9pjdK, 5721159]
[paragraph, [167.0, 325.0, 1277.0, 36.0], MyJEu9pjdK, 5721159]
[paragraph, [171.0, 378.0, 1261.0, 36.0], PMusf5oHW0, 5721159]
[paragraph, [171.0, 414.0, 1261.0, 36.0], PMusf5oHW0, 5721159]
[paragraph, [169.0, 481.0, 1259.0, 36.0], h6TzDRNz7L, 5721159]
[paragraph, [169.0, 517.0, 1259.0, 36.0], h6TzDRNz7L, 5721159]
[paragraph, [169.0, 553.0, 1259.0, 36.0], h6TzDRNz7L, 5721159]
[paragraph, [169.0, 589.0, 1259.0, 36.0], h6TzDRNz7L, 5721159]
[paragraph, [169.0, 625.0, 1259.0, 36.0], h6TzDRNz7L, 5721159]
[paragraph, [169.0, 661.0, 1259.0, 36.0], h6TzDRNz7L, 5721159]
[paragraph, [169.0, 697.0, 1259.0, 36.0], h6TzDRNz7L, 5721159]
[paragraph, [167.0, 746.0, 1269.0, 36.0], TVrr7JnPCm, 5721159]
[paragraph, [167.0, 782.0, 1269.0, 36.0], TVrr7JnPCm, 5721159]
[paragraph, [157.0, 845.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 881.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 917.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 953.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 989.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 1025.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 1061.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 1097.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 1133.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 1169.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 1205.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [157.0, 1241.0, 1279.0, 36.0], Iu68RBMgHl, 5721159]
[paragraph, [167.0, 1312.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1348.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1384.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1420.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1456.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1492.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1528.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1564.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1600.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1636.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1672.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1708.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1744.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [167.0, 1780.0, 1267.0, 36.0], W79q4_SweF, 5721159]
[paragraph, [164.0, 1837.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
[paragraph, [164.0, 1873.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
[paragraph, [164.0, 1909.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
[paragraph, [164.0, 1945.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
[paragraph, [164.0, 1981.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
[paragraph, [164.0, 2017.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
[paragraph, [164.0, 2053.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
[paragraph, [164.0, 2089.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
[paragraph, [164.0, 2125.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
[paragraph, [164.0, 2161.0, 1278.0, 36.0], shoonya_1sTMN0D58JY0DT, 5721159]
