[1518, 1075]
[paragraph, [91.0, 145.0, 425.0, 36.0], shoonya_4sP24YGWTU8ZO6, 5722645]
[paragraph, [535.0, 146.0, 427.0, 36.0], shoonya_6sEPK101DRA0ZB, 5722645]
[paragraph, [535.0, 182.0, 427.0, 36.0], shoonya_6sEPK101DRA0ZB, 5722645]
[paragraph, [535.0, 230.0, 426.0, 36.0], shoonya_0sVA1F4EK33IHT, 5722645]
[paragraph, [535.0, 266.0, 426.0, 36.0], shoonya_0sVA1F4EK33IHT, 5722645]
[paragraph, [535.0, 302.0, 426.0, 36.0], shoonya_0sVA1F4EK33IHT, 5722645]
[paragraph, [535.0, 338.0, 426.0, 36.0], shoonya_0sVA1F4EK33IHT, 5722645]
[paragraph, [535.0, 374.0, 426.0, 36.0], shoonya_0sVA1F4EK33IHT, 5722645]
[paragraph, [535.0, 410.0, 426.0, 36.0], shoonya_0sVA1F4EK33IHT, 5722645]
[paragraph, [91.0, 235.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 271.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 307.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 343.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 379.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 415.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 451.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 487.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 523.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 559.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 595.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 631.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 667.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 703.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 739.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 775.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 811.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 847.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 883.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 919.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 955.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 991.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 1027.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 1063.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 1099.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 1135.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 1171.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 1207.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 1243.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [91.0, 1279.0, 428.0, 36.0], shoonya_5sIQAIKMQ0MJDY, 5722645]
[paragraph, [533.0, 503.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 539.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 575.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 611.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 647.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 683.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 719.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 755.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 791.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 827.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 863.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 899.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 935.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 971.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 1007.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 1043.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 1079.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 1115.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 1151.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 1187.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 1223.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 1259.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[paragraph, [533.0, 1295.0, 429.0, 36.0], shoonya_1sAOAU1FQD1PDG, 5722645]
[folio, [234.0, 1347.0, 582.0, 36.0], r6_ajtgn7g, 5722645]
[folio, [673.0, 1392.0, 207.0, 36.0], shoonya_8s4ZXYTTCRS2HH, 5722645]
