[1250, 1650]
[paragraph, [580.0, 39.0, 484.0, 18.0], tghYkFiLD2, 5726366]
[paragraph, [580.0, 57.0, 484.0, 18.0], tghYkFiLD2, 5726366]
[paragraph, [580.0, 75.0, 484.0, 18.0], tghYkFiLD2, 5726366]
[paragraph, [580.0, 93.0, 484.0, 18.0], tghYkFiLD2, 5726366]
[paragraph, [580.0, 111.0, 484.0, 18.0], tghYkFiLD2, 5726366]
[subsub-section-title, [1281.0, 51.0, 189.0, 15.0], cKFUq_629C, 5726366]
[subsub-section-title, [1281.0, 66.0, 189.0, 15.0], cKFUq_629C, 5726366]
[subsub-section-title, [1281.0, 81.0, 189.0, 15.0], cKFUq_629C, 5726366]
[ordered-list, [1137.0, 109.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 127.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 145.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 163.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 181.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 199.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 217.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 235.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 253.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 271.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 289.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 307.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 325.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 343.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 361.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 379.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 397.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 415.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 433.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 451.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 469.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 487.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 505.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [1137.0, 523.0, 488.0, 18.0], 1lmzZ9KLb9, 5726366]
[ordered-list, [574.0, 162.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 180.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 198.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 216.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 234.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 252.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 270.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 288.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 306.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 324.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 342.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 360.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 378.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 396.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 414.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 432.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 450.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 468.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 486.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 504.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 522.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 540.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 558.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 576.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 594.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 612.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 630.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 648.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 666.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 684.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 702.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 720.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 738.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 756.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 774.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[ordered-list, [574.0, 792.0, 492.0, 18.0], uZoj0NpWat, 5726366]
[section-title, [37.0, 280.0, 467.0, 30.0], vyHsY_hCtk, 5726366]
[section-title, [37.0, 310.0, 467.0, 30.0], vyHsY_hCtk, 5726366]
[paragraph, [25.0, 346.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 364.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 382.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 400.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 418.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 436.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 454.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 472.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 490.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 508.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 526.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 544.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 562.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 580.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 598.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 616.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 634.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 652.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 670.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 688.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 706.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[paragraph, [25.0, 724.0, 489.0, 18.0], shoonya_0sZW5WXI3US6R7, 5726366]
[subsub-section-title, [1322.0, 558.0, 109.0, 15.0], 9qOM9WunVC, 5726366]
[subsub-section-title, [1322.0, 573.0, 109.0, 15.0], 9qOM9WunVC, 5726366]
