[1418, 1063]
[unordered-list, [144.0, 107.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 125.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 143.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 161.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 179.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 197.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 215.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 233.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 251.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 269.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 287.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 305.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 323.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 341.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 359.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 377.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 395.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 413.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 431.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 449.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 467.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 485.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 503.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 521.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 539.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 557.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 575.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 593.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 611.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 629.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 647.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 665.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 683.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 701.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 719.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 737.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 755.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 773.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 791.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 809.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 827.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 845.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 863.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 881.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 899.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 917.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 935.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 953.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 971.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 989.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1007.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1025.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1043.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1061.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1079.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1097.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1115.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1133.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1151.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1169.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1187.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1205.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1223.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[unordered-list, [144.0, 1241.0, 831.0, 18.0], b2ACJasdIY, 6468213]
[folio, [61.0, 1313.0, 276.0, 18.0], PVY-RCpnsP, 6468213]
[folio, [61.0, 1331.0, 276.0, 18.0], PVY-RCpnsP, 6468213]
