[1359, 828]
[folio, [96.0, 54.0, 113.0, 18.0], n2Kb9wg5rv, 5782109]
[folio, [96.0, 72.0, 113.0, 18.0], n2Kb9wg5rv, 5782109]
[ordered-list, [94.0, 151.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 169.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 187.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 205.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 223.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 241.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 259.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 277.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 295.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 313.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 331.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 349.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 367.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 385.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 403.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 421.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 439.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 457.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 475.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 493.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 511.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 529.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 547.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 565.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 583.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [94.0, 601.0, 649.0, 18.0], shoonya_5s747XIK7A47Q9, 5782109]
[ordered-list, [93.0, 686.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 704.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 722.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 740.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 758.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 776.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 794.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 812.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 830.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 848.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 866.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 884.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 902.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 920.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 938.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 956.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 974.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 992.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1010.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1028.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1046.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1064.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1082.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1100.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1118.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1136.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1154.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1172.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1190.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[ordered-list, [93.0, 1208.0, 652.0, 18.0], 8a2IT_7nM2, 5782109]
[sub-section-title, [161.0, 773.0, 123.0, 25.5], QKCOqWeWnH, 5782109]
[sub-ordered-list, [98.0, 884.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 902.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 920.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 938.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 956.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 974.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 992.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 1010.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 1028.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 1046.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 1064.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 1082.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 1100.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 1118.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 1136.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
[sub-ordered-list, [98.0, 1154.0, 643.0, 18.0], shoonya_2sH1C3N8PEJSR7, 5782109]
