[2339, 1653]
[paragraph, [501.0, 186.0, 484.0, 36.0], AYT1uoN7sf, 5753642]
[paragraph, [501.0, 222.0, 484.0, 36.0], AYT1uoN7sf, 5753642]
[paragraph, [501.0, 258.0, 484.0, 36.0], AYT1uoN7sf, 5753642]
[paragraph, [501.0, 294.0, 484.0, 36.0], AYT1uoN7sf, 5753642]
[paragraph, [501.0, 330.0, 484.0, 36.0], AYT1uoN7sf, 5753642]
[paragraph, [245.0, 428.0, 1171.0, 36.0], shoonya_4s0EIUTH6Z996H, 5753642]
[paragraph, [245.0, 464.0, 1171.0, 36.0], shoonya_4s0EIUTH6Z996H, 5753642]
[paragraph, [245.0, 500.0, 1171.0, 36.0], shoonya_4s0EIUTH6Z996H, 5753642]
[paragraph, [245.0, 536.0, 1171.0, 36.0], shoonya_4s0EIUTH6Z996H, 5753642]
[paragraph, [510.0, 631.0, 496.0, 36.0], shoonya_6sZOQ1HAO8WHES, 5753642]
[paragraph, [510.0, 667.0, 496.0, 36.0], shoonya_6sZOQ1HAO8WHES, 5753642]
[paragraph, [510.0, 703.0, 496.0, 36.0], shoonya_6sZOQ1HAO8WHES, 5753642]
[paragraph, [510.0, 739.0, 496.0, 36.0], shoonya_6sZOQ1HAO8WHES, 5753642]
[paragraph, [510.0, 775.0, 496.0, 36.0], shoonya_6sZOQ1HAO8WHES, 5753642]
[paragraph, [238.0, 880.0, 1177.0, 36.0], shoonya_1sZ5O5V8KJPLMP, 5753642]
[paragraph, [238.0, 916.0, 1177.0, 36.0], shoonya_1sZ5O5V8KJPLMP, 5753642]
[paragraph, [238.0, 952.0, 1177.0, 36.0], shoonya_1sZ5O5V8KJPLMP, 5753642]
[paragraph, [238.0, 988.0, 1177.0, 36.0], shoonya_1sZ5O5V8KJPLMP, 5753642]
[paragraph, [238.0, 1024.0, 1177.0, 36.0], shoonya_1sZ5O5V8KJPLMP, 5753642]
[paragraph, [238.0, 1060.0, 1177.0, 36.0], shoonya_1sZ5O5V8KJPLMP, 5753642]
[paragraph, [238.0, 1096.0, 1177.0, 36.0], shoonya_1sZ5O5V8KJPLMP, 5753642]
[paragraph, [501.0, 1169.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1205.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1241.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1277.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1313.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1349.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1385.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1421.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1457.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1493.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1529.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [501.0, 1565.0, 453.0, 36.0], 0ImBFCXXlU, 5753642]
[paragraph, [236.0, 1663.0, 1197.0, 36.0], shoonya_2s5K76Z633BQIB, 5753642]
[paragraph, [236.0, 1699.0, 1197.0, 36.0], shoonya_2s5K76Z633BQIB, 5753642]
[paragraph, [236.0, 1735.0, 1197.0, 36.0], shoonya_2s5K76Z633BQIB, 5753642]
[paragraph, [236.0, 1771.0, 1197.0, 36.0], shoonya_2s5K76Z633BQIB, 5753642]
[paragraph, [236.0, 1807.0, 1197.0, 36.0], shoonya_2s5K76Z633BQIB, 5753642]
[paragraph, [236.0, 1843.0, 1197.0, 36.0], shoonya_2s5K76Z633BQIB, 5753642]
[paragraph, [236.0, 1879.0, 1197.0, 36.0], shoonya_2s5K76Z633BQIB, 5753642]
[reference, [220.0, 1978.0, 562.0, 36.0], shoonya_0sPVI7GURQB78R, 5753642]
[reference, [220.0, 2014.0, 562.0, 36.0], shoonya_0sPVI7GURQB78R, 5753642]
[reference, [220.0, 2050.0, 562.0, 36.0], shoonya_0sPVI7GURQB78R, 5753642]
[reference, [220.0, 2086.0, 562.0, 36.0], shoonya_0sPVI7GURQB78R, 5753642]
