[507, 318]
[folio, [249.0, 2.0, 66.0, 18.0], OipQEYCTE7, 5652924]
[paragraph, [3.0, 33.0, 314.0, 18.0], shoonya_3sVYOA64648J8M, 5652924]
[paragraph, [3.0, 51.0, 314.0, 18.0], shoonya_3sVYOA64648J8M, 5652924]
[paragraph, [4.0, 73.0, 312.0, 18.0], uSw3QjJ9Om, 5652924]
[paragraph, [4.0, 91.0, 312.0, 18.0], uSw3QjJ9Om, 5652924]
[paragraph, [0.0, 113.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 131.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 149.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 167.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 185.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 203.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 221.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 239.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 257.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 275.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 293.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 311.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 329.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 347.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 365.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 383.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 401.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 419.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 437.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
[paragraph, [0.0, 455.0, 317.0, 18.0], shoonya_0s6FE41FCM03ZC, 5652924]
