[1074, 720]
[paragraph, [61.0, 106.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 124.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 142.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 160.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 178.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 196.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 214.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 232.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 250.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 268.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 286.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 304.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 322.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 340.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 358.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 376.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 394.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 412.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 430.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 448.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 466.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 484.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 502.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 520.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 538.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 556.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 574.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 592.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 610.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 628.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 646.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 664.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [61.0, 682.0, 594.0, 18.0], shoonya_0sBBJ7PGXPDUZM, 5710561]
[paragraph, [36.0, 714.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 732.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 750.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 768.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 786.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 804.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 822.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 840.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 858.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 876.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 894.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 912.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 930.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 948.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
[paragraph, [36.0, 966.0, 635.0, 18.0], EOEvTjP0kB, 5710561]
