[1650, 1275]
[paragraph, [142.0, 149.0, 980.0, 36.0], shoonya_1sNUNCDVYPAXC5, 5777991]
[paragraph, [142.0, 185.0, 980.0, 36.0], shoonya_1sNUNCDVYPAXC5, 5777991]
[paragraph, [142.0, 221.0, 980.0, 36.0], shoonya_1sNUNCDVYPAXC5, 5777991]
[paragraph, [142.0, 257.0, 980.0, 36.0], shoonya_1sNUNCDVYPAXC5, 5777991]
[paragraph, [142.0, 293.0, 980.0, 36.0], shoonya_1sNUNCDVYPAXC5, 5777991]
[paragraph, [142.0, 329.0, 980.0, 36.0], shoonya_1sNUNCDVYPAXC5, 5777991]
[paragraph, [142.0, 365.0, 980.0, 36.0], shoonya_1sNUNCDVYPAXC5, 5777991]
[paragraph, [142.0, 401.0, 980.0, 36.0], shoonya_1sNUNCDVYPAXC5, 5777991]
[paragraph, [143.0, 492.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 528.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 564.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 600.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 636.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 672.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 708.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 744.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 780.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 816.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 852.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 888.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 924.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 960.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 996.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 1032.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 1068.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 1104.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 1140.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 1176.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[paragraph, [143.0, 1212.0, 973.0, 36.0], shoonya_3sFW7TY84AIQNS, 5777991]
[footnote, [145.0, 1400.0, 989.0, 36.0], shoonya_0sK16IANW7DLLC, 5777991]
[footnote, [145.0, 1436.0, 989.0, 36.0], shoonya_0sK16IANW7DLLC, 5777991]
