[2339, 1653]
[paragraph, [327.0, 161.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 197.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 233.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 269.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 305.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 341.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 377.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 413.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 449.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 485.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 521.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 557.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 593.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 629.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 665.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 701.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 737.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [327.0, 773.0, 1135.0, 36.0], shoonya_0sTE2KGM5509Y1, 5733726]
[paragraph, [323.0, 834.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 870.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 906.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 942.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 978.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1014.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1050.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1086.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1122.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1158.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1194.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1230.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1266.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1302.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1338.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1374.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1410.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1446.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1482.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1518.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1554.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
[paragraph, [323.0, 1590.0, 1138.0, 36.0], shoonya_1s3CGJXSMR9PDB, 5733726]
