[690, 512]
[folio, [205.0, 40.0, 90.0, 18.0], XqAjNtj2uL, 6491965]
[paragraph, [31.0, 62.0, 213.0, 18.0], 6VlmlPAoLN, 6491965]
[paragraph, [31.0, 80.0, 213.0, 18.0], 6VlmlPAoLN, 6491965]
[paragraph, [31.0, 98.0, 213.0, 18.0], 6VlmlPAoLN, 6491965]
[paragraph, [31.0, 116.0, 213.0, 18.0], 6VlmlPAoLN, 6491965]
[paragraph, [31.0, 134.0, 213.0, 18.0], 6VlmlPAoLN, 6491965]
[paragraph, [31.0, 152.0, 213.0, 18.0], 6VlmlPAoLN, 6491965]
[paragraph, [31.0, 170.0, 213.0, 18.0], 6VlmlPAoLN, 6491965]
[paragraph, [31.0, 188.0, 213.0, 18.0], 6VlmlPAoLN, 6491965]
[paragraph, [31.0, 206.0, 213.0, 18.0], 6VlmlPAoLN, 6491965]
[paragraph, [260.0, 63.0, 212.0, 18.0], r8vcBl63Lq, 6491965]
[paragraph, [260.0, 81.0, 212.0, 18.0], r8vcBl63Lq, 6491965]
[paragraph, [260.0, 99.0, 212.0, 18.0], r8vcBl63Lq, 6491965]
[paragraph, [260.0, 117.0, 212.0, 18.0], r8vcBl63Lq, 6491965]
[paragraph, [260.0, 135.0, 212.0, 18.0], r8vcBl63Lq, 6491965]
[paragraph, [260.0, 153.0, 212.0, 18.0], r8vcBl63Lq, 6491965]
[paragraph, [260.0, 171.0, 212.0, 18.0], r8vcBl63Lq, 6491965]
[paragraph, [260.0, 189.0, 212.0, 18.0], r8vcBl63Lq, 6491965]
[paragraph, [253.0, 216.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 234.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 252.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 270.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 288.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 306.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 324.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 342.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 360.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 378.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 396.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 414.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 432.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 450.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 468.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 486.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 504.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 522.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 540.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 558.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 576.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 594.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [253.0, 612.0, 215.0, 18.0], YtEfzDCHC5, 6491965]
[paragraph, [28.0, 230.0, 211.0, 18.0], o3WfBMENIu, 6491965]
[paragraph, [29.0, 263.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 281.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 299.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 317.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 335.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 353.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 371.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 389.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 407.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 425.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [29.0, 443.0, 212.0, 18.0], dBavPsl_mn, 6491965]
[paragraph, [28.0, 463.0, 211.0, 18.0], rCK3yRAcKp, 6491965]
[paragraph, [28.0, 481.0, 211.0, 18.0], rCK3yRAcKp, 6491965]
[paragraph, [28.0, 499.0, 211.0, 18.0], rCK3yRAcKp, 6491965]
[paragraph, [28.0, 517.0, 211.0, 18.0], rCK3yRAcKp, 6491965]
[paragraph, [28.0, 535.0, 211.0, 18.0], rCK3yRAcKp, 6491965]
[paragraph, [28.0, 553.0, 211.0, 18.0], rCK3yRAcKp, 6491965]
[paragraph, [28.0, 571.0, 211.0, 18.0], rCK3yRAcKp, 6491965]
[paragraph, [28.0, 589.0, 211.0, 18.0], rCK3yRAcKp, 6491965]
[paragraph, [28.0, 607.0, 211.0, 18.0], rCK3yRAcKp, 6491965]
