[2339, 1653]
[folio, [229.0, 328.0, 309.0, 36.0], OZxanS8Vct, 5735352]
[folio, [1258.0, 332.0, 159.0, 36.0], sOzMf1ENdO, 5735352]
[sidebar, [43.0, 531.0, 159.0, 36.0], ixbj_4zveT, 5735352]
[sidebar, [43.0, 567.0, 159.0, 36.0], ixbj_4zveT, 5735352]
[figure-caption, [600.0, 1186.0, 456.0, 36.0], shoonya_6s8H2DPTA17DSZ, 5735352]
[paragraph, [836.0, 1268.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1304.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1340.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1376.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1412.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1448.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1484.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1520.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1556.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1592.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1628.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1664.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1700.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1736.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1772.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1808.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1844.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [836.0, 1880.0, 579.0, 36.0], shoonya_2sFYVMXDSATB1H, 5735352]
[paragraph, [238.0, 1269.0, 578.0, 36.0], shoonya_3sS2DUONXMV0ID, 5735352]
[paragraph, [238.0, 1305.0, 578.0, 36.0], shoonya_3sS2DUONXMV0ID, 5735352]
[paragraph, [238.0, 1341.0, 578.0, 36.0], shoonya_3sS2DUONXMV0ID, 5735352]
[paragraph, [238.0, 1377.0, 578.0, 36.0], shoonya_3sS2DUONXMV0ID, 5735352]
[paragraph, [238.0, 1413.0, 578.0, 36.0], shoonya_3sS2DUONXMV0ID, 5735352]
[paragraph, [238.0, 1449.0, 578.0, 36.0], shoonya_3sS2DUONXMV0ID, 5735352]
[paragraph, [238.0, 1485.0, 578.0, 36.0], shoonya_3sS2DUONXMV0ID, 5735352]
[paragraph, [238.0, 1521.0, 578.0, 36.0], shoonya_3sS2DUONXMV0ID, 5735352]
[paragraph, [236.0, 1580.0, 579.0, 36.0], shoonya_1sVGQ688O60318, 5735352]
[paragraph, [236.0, 1616.0, 579.0, 36.0], shoonya_1sVGQ688O60318, 5735352]
[paragraph, [236.0, 1652.0, 579.0, 36.0], shoonya_1sVGQ688O60318, 5735352]
[paragraph, [236.0, 1688.0, 579.0, 36.0], shoonya_1sVGQ688O60318, 5735352]
[paragraph, [236.0, 1724.0, 579.0, 36.0], shoonya_1sVGQ688O60318, 5735352]
[paragraph, [236.0, 1760.0, 579.0, 36.0], shoonya_1sVGQ688O60318, 5735352]
[paragraph, [236.0, 1796.0, 579.0, 36.0], shoonya_1sVGQ688O60318, 5735352]
[paragraph, [236.0, 1832.0, 579.0, 36.0], shoonya_1sVGQ688O60318, 5735352]
[paragraph, [236.0, 1868.0, 579.0, 36.0], shoonya_1sVGQ688O60318, 5735352]
[folio, [1182.0, 1966.0, 231.0, 36.0], shoonya_5s8MIC8ISBWCJN, 5735352]
