[1650, 1275]
[paragraph, [141.0, 148.0, 988.0, 36.0], shoonya_2sWNGUBLOVXKZT, 5703325]
[paragraph, [141.0, 184.0, 988.0, 36.0], shoonya_2sWNGUBLOVXKZT, 5703325]
[paragraph, [143.0, 293.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 329.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 365.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 401.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 437.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 473.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 509.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 545.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 581.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 617.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 653.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 689.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 725.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 761.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 797.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 833.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 869.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 905.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 941.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 977.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 1013.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 1049.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 1085.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 1121.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 1157.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 1193.0, 993.0, 36.0], uth1MJu6gG, 5703325]
[paragraph, [143.0, 1262.0, 990.0, 36.0], shoonya_0sRHS74JHHST8J, 5703325]
[paragraph, [143.0, 1298.0, 990.0, 36.0], shoonya_0sRHS74JHHST8J, 5703325]
[paragraph, [143.0, 1334.0, 990.0, 36.0], shoonya_0sRHS74JHHST8J, 5703325]
[paragraph, [143.0, 1370.0, 990.0, 36.0], shoonya_0sRHS74JHHST8J, 5703325]
[paragraph, [143.0, 1406.0, 990.0, 36.0], shoonya_0sRHS74JHHST8J, 5703325]
[paragraph, [143.0, 1442.0, 990.0, 36.0], shoonya_0sRHS74JHHST8J, 5703325]
