[3508, 2481]
[ordered-list, [279.0, 102.0, 1569.0, 52.5], pgyuK6c_Fa, 6534728]
[ordered-list, [279.0, 154.5, 1569.0, 52.5], pgyuK6c_Fa, 6534728]
[ordered-list, [279.0, 207.0, 1569.0, 52.5], pgyuK6c_Fa, 6534728]
[paragraph, [216.0, 366.0, 2050.0, 52.5], shoonya_7sSHPWXP4SMCZV, 6534728]
[paragraph, [216.0, 418.5, 2050.0, 52.5], shoonya_7sSHPWXP4SMCZV, 6534728]
[paragraph, [216.0, 471.0, 2050.0, 52.5], shoonya_7sSHPWXP4SMCZV, 6534728]
[paragraph, [216.0, 523.5, 2050.0, 52.5], shoonya_7sSHPWXP4SMCZV, 6534728]
[paragraph, [222.0, 657.0, 2037.0, 52.5], shoonya_1sZX24OETWTEFF, 6534728]
[paragraph, [222.0, 709.5, 2037.0, 52.5], shoonya_1sZX24OETWTEFF, 6534728]
[paragraph, [222.0, 762.0, 2037.0, 52.5], shoonya_1sZX24OETWTEFF, 6534728]
[paragraph, [222.0, 814.5, 2037.0, 52.5], shoonya_1sZX24OETWTEFF, 6534728]
[paragraph, [222.0, 867.0, 2037.0, 52.5], shoonya_1sZX24OETWTEFF, 6534728]
[paragraph, [222.0, 919.5, 2037.0, 52.5], shoonya_1sZX24OETWTEFF, 6534728]
[paragraph, [222.0, 972.0, 2037.0, 52.5], shoonya_1sZX24OETWTEFF, 6534728]
[paragraph, [222.0, 1024.5, 2037.0, 52.5], shoonya_1sZX24OETWTEFF, 6534728]
[paragraph, [218.0, 1141.0, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1193.5, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1246.0, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1298.5, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1351.0, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1403.5, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1456.0, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1508.5, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1561.0, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1613.5, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1666.0, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1718.5, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1771.0, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[paragraph, [218.0, 1823.5, 2038.0, 52.5], shoonya_0s680C7J7SGFID, 6534728]
[figure-caption, [221.0, 2236.0, 334.0, 52.5], shoonya_2sP6X2X30XP9P8, 6534728]
[contact-info, [226.0, 3292.0, 555.0, 52.5], shoonya_5s1LW78H4WKHVK, 6534728]
