[540, 960]
[flag, [172.0, 1.0, 699.0, 18.0], vB-ZB9h2Yn, 5715559]
[flag, [172.0, 19.0, 699.0, 18.0], vB-ZB9h2Yn, 5715559]
[flag, [172.0, 37.0, 699.0, 18.0], vB-ZB9h2Yn, 5715559]
[section-title, [174.0, 1.0, 663.0, 30.0], shoonya_1sW0PXOAOJEV4X, 5715559]
[section-title, [174.0, 31.0, 663.0, 30.0], shoonya_1sW0PXOAOJEV4X, 5715559]
[flag, [0.0, 6.0, 118.0, 18.0], 9t70oT9OQA, 5715559]
[flag, [0.0, 24.0, 118.0, 18.0], 9t70oT9OQA, 5715559]
[flag, [0.0, 42.0, 118.0, 18.0], 9t70oT9OQA, 5715559]
[unordered-list, [0.0, 86.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 104.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 122.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 140.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 158.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 176.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 194.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 212.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 230.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 248.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 266.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 284.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 302.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 320.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 338.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 356.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 374.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 392.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 410.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 428.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 446.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 464.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 482.0, 959.0, 18.0], xIjyGG55TN, 5715559]
[unordered-list, [0.0, 500.0, 959.0, 18.0], xIjyGG55TN, 5715559]
