[1275, 1650]
[folio, [210.0, 129.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 147.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 165.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 183.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 201.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 219.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 237.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 255.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 273.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 291.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[folio, [210.0, 309.0, 586.0, 18.0], shoonya_3s1GITRXOPGV00, 5764411]
[second-level-question, [845.0, 177.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 195.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 213.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 231.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 249.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 267.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 285.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 303.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 321.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 339.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 357.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 375.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 393.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[second-level-question, [845.0, 411.0, 684.0, 18.0], 9ryCkrD0h8, 5764411]
[sidebar, [88.0, 334.0, 187.0, 18.0], Bgyedkh9DV, 5764411]
[sidebar, [464.0, 334.0, 336.0, 18.0], sjACQoCjk8, 5764411]
[section-title, [378.0, 379.0, 150.0, 30.0], shoonya_7s2YNUUJYESUSP, 5764411]
[sidebar, [621.0, 421.0, 152.0, 18.0], shoonya_6sZQR7UHHE7R8R, 5764411]
[sidebar, [621.0, 439.0, 152.0, 18.0], shoonya_6sZQR7UHHE7R8R, 5764411]
[section-title, [1148.0, 466.0, 158.0, 30.0], gXzdxT-Z0_, 5764411]
[second-level-question, [75.0, 467.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
[second-level-question, [75.0, 485.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
[second-level-question, [75.0, 503.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
[second-level-question, [75.0, 521.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
[second-level-question, [75.0, 539.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
[second-level-question, [75.0, 557.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
[second-level-question, [75.0, 575.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
[second-level-question, [75.0, 593.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
[second-level-question, [75.0, 611.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
[second-level-question, [75.0, 629.0, 698.0, 18.0], shoonya_5s5SCNZDM5C9RX, 5764411]
