[515, 727]
[paragraph, [397.0, 52.0, 238.0, 18.0], k9roGhPxxz, 6534000]
[paragraph, [397.0, 70.0, 238.0, 18.0], k9roGhPxxz, 6534000]
[paragraph, [397.0, 88.0, 238.0, 18.0], k9roGhPxxz, 6534000]
[paragraph, [397.0, 106.0, 238.0, 18.0], k9roGhPxxz, 6534000]
[paragraph, [397.0, 124.0, 238.0, 18.0], k9roGhPxxz, 6534000]
[paragraph, [397.0, 142.0, 238.0, 18.0], k9roGhPxxz, 6534000]
[paragraph, [101.0, 56.0, 226.0, 18.0], n_K7CDrg8d, 6534000]
[paragraph, [101.0, 74.0, 226.0, 18.0], n_K7CDrg8d, 6534000]
[paragraph, [101.0, 92.0, 226.0, 18.0], n_K7CDrg8d, 6534000]
[paragraph, [101.0, 110.0, 226.0, 18.0], n_K7CDrg8d, 6534000]
[paragraph, [101.0, 128.0, 226.0, 18.0], n_K7CDrg8d, 6534000]
[paragraph, [101.0, 146.0, 226.0, 18.0], n_K7CDrg8d, 6534000]
[paragraph, [431.0, 161.0, 240.0, 18.0], iIsm1qJxQD, 6534000]
[paragraph, [431.0, 179.0, 240.0, 18.0], iIsm1qJxQD, 6534000]
[paragraph, [431.0, 197.0, 240.0, 18.0], iIsm1qJxQD, 6534000]
[paragraph, [137.0, 170.0, 234.0, 18.0], w5Q4nmedz6, 6534000]
[paragraph, [137.0, 188.0, 234.0, 18.0], w5Q4nmedz6, 6534000]
[paragraph, [397.0, 225.0, 233.0, 18.0], rrwclVlKpM, 6534000]
[paragraph, [397.0, 243.0, 233.0, 18.0], rrwclVlKpM, 6534000]
[paragraph, [397.0, 261.0, 233.0, 18.0], rrwclVlKpM, 6534000]
[paragraph, [397.0, 279.0, 233.0, 18.0], rrwclVlKpM, 6534000]
[paragraph, [397.0, 297.0, 233.0, 18.0], rrwclVlKpM, 6534000]
[paragraph, [104.0, 230.0, 228.0, 18.0], shoonya_0s36QI5OXFV45E, 6534000]
[paragraph, [104.0, 248.0, 228.0, 18.0], shoonya_0s36QI5OXFV45E, 6534000]
[paragraph, [104.0, 266.0, 228.0, 18.0], shoonya_0s36QI5OXFV45E, 6534000]
[paragraph, [104.0, 284.0, 228.0, 18.0], shoonya_0s36QI5OXFV45E, 6534000]
[paragraph, [104.0, 302.0, 228.0, 18.0], shoonya_0s36QI5OXFV45E, 6534000]
[paragraph, [104.0, 320.0, 228.0, 18.0], shoonya_0s36QI5OXFV45E, 6534000]
[paragraph, [434.0, 330.0, 233.0, 18.0], J_ooWoEL53, 6534000]
[paragraph, [434.0, 348.0, 233.0, 18.0], J_ooWoEL53, 6534000]
[paragraph, [142.0, 342.0, 235.0, 18.0], KpPzjaQlU9, 6534000]
[paragraph, [142.0, 360.0, 235.0, 18.0], KpPzjaQlU9, 6534000]
[ordered-list, [398.0, 387.0, 275.0, 18.0], bySB38q48n, 6534000]
[ordered-list, [398.0, 405.0, 275.0, 18.0], bySB38q48n, 6534000]
[ordered-list, [398.0, 423.0, 275.0, 18.0], bySB38q48n, 6534000]
[ordered-list, [101.0, 401.0, 268.0, 18.0], IwjBEPRv6F, 6534000]
[ordered-list, [101.0, 419.0, 268.0, 18.0], IwjBEPRv6F, 6534000]
