[1240, 1755]
[second-level-question, [1033.0, 142.0, 587.0, 18.0], oE0F1U79U5, 5729224]
[second-level-question, [1033.0, 160.0, 587.0, 18.0], oE0F1U79U5, 5729224]
[second-level-question, [1033.0, 178.0, 587.0, 18.0], oE0F1U79U5, 5729224]
[second-level-question, [1033.0, 196.0, 587.0, 18.0], oE0F1U79U5, 5729224]
[sidebar, [673.0, 144.0, 89.0, 18.0], 8h1kEEOwv5, 5729224]
[second-level-question, [179.0, 195.0, 587.0, 18.0], KyjYk2raQE, 5729224]
[second-level-question, [179.0, 213.0, 587.0, 18.0], KyjYk2raQE, 5729224]
[second-level-question, [179.0, 231.0, 587.0, 18.0], KyjYk2raQE, 5729224]
[second-level-question, [179.0, 249.0, 587.0, 18.0], KyjYk2raQE, 5729224]
[second-level-question, [179.0, 267.0, 587.0, 18.0], KyjYk2raQE, 5729224]
[second-level-question, [179.0, 285.0, 587.0, 18.0], KyjYk2raQE, 5729224]
[second-level-question, [179.0, 303.0, 587.0, 18.0], KyjYk2raQE, 5729224]
[second-level-question, [1031.0, 223.0, 592.0, 18.0], iX1MdRXltD, 5729224]
[second-level-question, [1031.0, 241.0, 592.0, 18.0], iX1MdRXltD, 5729224]
[second-level-question, [1031.0, 259.0, 592.0, 18.0], iX1MdRXltD, 5729224]
[second-level-question, [1031.0, 277.0, 592.0, 18.0], iX1MdRXltD, 5729224]
[second-level-question, [1031.0, 295.0, 592.0, 18.0], iX1MdRXltD, 5729224]
[second-level-question, [1035.0, 335.0, 587.0, 18.0], Wd4rAi_Pby, 5729224]
[second-level-question, [1035.0, 353.0, 587.0, 18.0], Wd4rAi_Pby, 5729224]
[second-level-question, [1035.0, 371.0, 587.0, 18.0], Wd4rAi_Pby, 5729224]
[second-level-question, [182.0, 346.0, 587.0, 18.0], 0-PB-uDhMW, 5729224]
[second-level-question, [182.0, 364.0, 587.0, 18.0], 0-PB-uDhMW, 5729224]
[second-level-question, [182.0, 382.0, 587.0, 18.0], 0-PB-uDhMW, 5729224]
[second-level-question, [182.0, 400.0, 587.0, 18.0], 0-PB-uDhMW, 5729224]
[second-level-question, [182.0, 418.0, 587.0, 18.0], 0-PB-uDhMW, 5729224]
[second-level-question, [1033.0, 416.0, 585.0, 18.0], 35JtCVqIrq, 5729224]
[second-level-question, [1033.0, 434.0, 585.0, 18.0], 35JtCVqIrq, 5729224]
[second-level-question, [1033.0, 452.0, 585.0, 18.0], 35JtCVqIrq, 5729224]
[second-level-question, [1033.0, 470.0, 585.0, 18.0], 35JtCVqIrq, 5729224]
[second-level-question, [1033.0, 488.0, 585.0, 18.0], 35JtCVqIrq, 5729224]
[second-level-question, [186.0, 460.0, 581.0, 18.0], hsiSABgg2q, 5729224]
[second-level-question, [186.0, 478.0, 581.0, 18.0], hsiSABgg2q, 5729224]
[second-level-question, [186.0, 496.0, 581.0, 18.0], hsiSABgg2q, 5729224]
[second-level-question, [186.0, 514.0, 581.0, 18.0], hsiSABgg2q, 5729224]
[second-level-question, [186.0, 532.0, 581.0, 18.0], hsiSABgg2q, 5729224]
[second-level-question, [1033.0, 533.0, 585.0, 18.0], C5oi_jVWXX, 5729224]
[second-level-question, [1033.0, 551.0, 585.0, 18.0], C5oi_jVWXX, 5729224]
[second-level-question, [1033.0, 569.0, 585.0, 18.0], C5oi_jVWXX, 5729224]
[second-level-question, [186.0, 572.0, 581.0, 18.0], pQ5W8Zb-4t, 5729224]
[second-level-question, [186.0, 590.0, 581.0, 18.0], pQ5W8Zb-4t, 5729224]
[second-level-question, [186.0, 608.0, 581.0, 18.0], pQ5W8Zb-4t, 5729224]
[second-level-question, [186.0, 626.0, 581.0, 18.0], pQ5W8Zb-4t, 5729224]
[second-level-question, [186.0, 644.0, 581.0, 18.0], pQ5W8Zb-4t, 5729224]
[second-level-question, [186.0, 662.0, 581.0, 18.0], pQ5W8Zb-4t, 5729224]
[second-level-question, [186.0, 680.0, 581.0, 18.0], pQ5W8Zb-4t, 5729224]
[second-level-question, [1031.0, 618.0, 592.0, 18.0], 2DQLK4WsP3, 5729224]
[second-level-question, [1031.0, 636.0, 592.0, 18.0], 2DQLK4WsP3, 5729224]
[second-level-question, [1031.0, 654.0, 592.0, 18.0], 2DQLK4WsP3, 5729224]
[second-level-question, [184.0, 719.0, 585.0, 18.0], MJbhyguEIm, 5729224]
[second-level-question, [184.0, 737.0, 585.0, 18.0], MJbhyguEIm, 5729224]
[second-level-question, [184.0, 755.0, 585.0, 18.0], MJbhyguEIm, 5729224]
[sidebar, [1513.0, 752.0, 94.0, 18.0], 2eONcP8Wth, 5729224]
[second-level-question, [1028.0, 803.0, 587.0, 18.0], NbWzjc63AL, 5729224]
[second-level-question, [1028.0, 821.0, 587.0, 18.0], NbWzjc63AL, 5729224]
[second-level-question, [1028.0, 839.0, 587.0, 18.0], NbWzjc63AL, 5729224]
[second-level-question, [1028.0, 857.0, 587.0, 18.0], NbWzjc63AL, 5729224]
[second-level-question, [1028.0, 875.0, 587.0, 18.0], NbWzjc63AL, 5729224]
[second-level-question, [1028.0, 893.0, 587.0, 18.0], NbWzjc63AL, 5729224]
[sidebar, [673.0, 844.0, 85.0, 18.0], 6LPk_k7Zd_, 5729224]
[second-level-question, [179.0, 895.0, 587.0, 18.0], FQ33ysVsV5, 5729224]
[second-level-question, [179.0, 913.0, 587.0, 18.0], FQ33ysVsV5, 5729224]
[second-level-question, [179.0, 931.0, 587.0, 18.0], FQ33ysVsV5, 5729224]
[second-level-question, [1032.0, 935.0, 582.0, 18.0], shoonya_5s8CVO95EOTTOX, 5729224]
[second-level-question, [1032.0, 953.0, 582.0, 18.0], shoonya_5s8CVO95EOTTOX, 5729224]
[second-level-question, [1032.0, 971.0, 582.0, 18.0], shoonya_5s8CVO95EOTTOX, 5729224]
[second-level-question, [1032.0, 989.0, 582.0, 18.0], shoonya_5s8CVO95EOTTOX, 5729224]
[second-level-question, [1032.0, 1007.0, 582.0, 18.0], shoonya_5s8CVO95EOTTOX, 5729224]
[second-level-question, [182.0, 976.0, 592.0, 18.0], AoEfmu4JD5, 5729224]
[second-level-question, [182.0, 994.0, 592.0, 18.0], AoEfmu4JD5, 5729224]
[second-level-question, [182.0, 1012.0, 592.0, 18.0], AoEfmu4JD5, 5729224]
