[3508, 2481]
[sub-section-title, [220.0, 220.0, 303.0, 73.5], LeLHfVCxey, 6534708]
[unordered-list, [272.0, 304.0, 1982.0, 52.5], shoonya_0sTBBG222MZMQ4, 6534708]
[unordered-list, [272.0, 356.5, 1982.0, 52.5], shoonya_0sTBBG222MZMQ4, 6534708]
[unordered-list, [272.0, 409.0, 1982.0, 52.5], shoonya_0sTBBG222MZMQ4, 6534708]
[unordered-list, [272.0, 461.5, 1982.0, 52.5], shoonya_0sTBBG222MZMQ4, 6534708]
[unordered-list, [272.0, 514.0, 1982.0, 52.5], shoonya_0sTBBG222MZMQ4, 6534708]
[unordered-list, [272.0, 566.5, 1982.0, 52.5], shoonya_0sTBBG222MZMQ4, 6534708]
[unordered-list, [272.0, 619.0, 1982.0, 52.5], shoonya_0sTBBG222MZMQ4, 6534708]
[unordered-list, [272.0, 671.5, 1982.0, 52.5], shoonya_0sTBBG222MZMQ4, 6534708]
[unordered-list, [272.0, 724.0, 1982.0, 52.5], shoonya_0sTBBG222MZMQ4, 6534708]
[paragraph, [217.0, 980.0, 2046.0, 52.5], -g-ZRBWWg_, 6534708]
[paragraph, [217.0, 1032.5, 2046.0, 52.5], -g-ZRBWWg_, 6534708]
[paragraph, [217.0, 1296.0, 573.0, 52.5], DIwoH-zSRG, 6534708]
[paragraph, [210.0, 1560.0, 2049.0, 52.5], Q_4_3cJ381, 6534708]
[paragraph, [210.0, 1612.5, 2049.0, 52.5], Q_4_3cJ381, 6534708]
[paragraph, [210.0, 1879.0, 583.0, 52.5], yonA8JUYOv, 6534708]
[paragraph, [198.0, 2140.0, 2068.0, 52.5], 7sw26ARtjX, 6534708]
[paragraph, [198.0, 2192.5, 2068.0, 52.5], 7sw26ARtjX, 6534708]
[paragraph, [198.0, 2245.0, 2068.0, 52.5], 7sw26ARtjX, 6534708]
[placeholder-text, [1925.0, 2573.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2591.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2609.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2627.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2645.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2663.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2681.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2699.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2717.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2735.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2753.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2771.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2789.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[placeholder-text, [1925.0, 2807.0, 348.0, 18.0], oa7Q1_NBVh, 6534708]
[contact-info, [213.0, 3266.0, 570.0, 52.5], rIy-gagiUK, 6534708]
[contact-info, [213.0, 3318.5, 570.0, 52.5], rIy-gagiUK, 6534708]
