[792, 612]
[folio, [250.0, 70.0, 100.0, 18.0], JQ9I1LCi-U, 6492854]
[paragraph, [96.0, 105.0, 410.0, 18.0], dop6JjCFVO, 6492854]
[paragraph, [96.0, 123.0, 410.0, 18.0], dop6JjCFVO, 6492854]
[paragraph, [96.0, 141.0, 410.0, 18.0], dop6JjCFVO, 6492854]
[paragraph, [96.0, 159.0, 410.0, 18.0], dop6JjCFVO, 6492854]
[paragraph, [96.0, 177.0, 410.0, 18.0], dop6JjCFVO, 6492854]
[paragraph, [96.0, 195.0, 410.0, 18.0], dop6JjCFVO, 6492854]
[paragraph, [96.0, 213.0, 410.0, 18.0], dop6JjCFVO, 6492854]
[paragraph, [95.0, 237.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [95.0, 255.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [95.0, 273.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [95.0, 291.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [95.0, 309.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [95.0, 327.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [95.0, 345.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [95.0, 363.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [95.0, 381.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [95.0, 399.0, 409.0, 18.0], Qn-rPYkoLl, 6492854]
[paragraph, [98.0, 470.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [98.0, 488.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [98.0, 506.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [98.0, 524.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [98.0, 542.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [98.0, 560.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [98.0, 578.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [98.0, 596.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [98.0, 614.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [98.0, 632.0, 406.0, 18.0], RNIhlmZbVT, 6492854]
[paragraph, [99.0, 665.0, 403.0, 18.0], fom3cOL2Hw, 6492854]
[paragraph, [99.0, 683.0, 403.0, 18.0], fom3cOL2Hw, 6492854]
[paragraph, [99.0, 701.0, 403.0, 18.0], fom3cOL2Hw, 6492854]
