[1307, 950]
[chapter-title, [261.0, 54.0, 281.0, 30.0], shoonya_0sJGXGLRQDM0N7, 5775776]
[paragraph, [70.0, 110.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 128.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 146.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 164.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 182.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 200.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 218.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 236.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 254.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 272.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 290.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 308.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 326.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 344.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 362.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 380.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 398.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 416.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 434.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 452.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [70.0, 470.0, 659.0, 18.0], 5T3FfOqPFO, 5775776]
[paragraph, [74.0, 491.0, 391.0, 18.0], 5UYLVIo50S, 5775776]
[paragraph, [74.0, 517.0, 468.0, 18.0], 6PDfiPXelx, 5775776]
[paragraph, [75.0, 542.0, 651.0, 18.0], y3it9eW8NJ, 5775776]
[paragraph, [75.0, 560.0, 651.0, 18.0], y3it9eW8NJ, 5775776]
[paragraph, [74.0, 590.0, 456.0, 18.0], SUr1PCr2S6, 5775776]
[paragraph, [74.0, 613.0, 660.0, 18.0], yyC0HMN3ws, 5775776]
[paragraph, [74.0, 631.0, 660.0, 18.0], yyC0HMN3ws, 5775776]
[paragraph, [74.0, 666.0, 538.0, 18.0], vbwX4oknGA, 5775776]
[paragraph, [71.0, 690.0, 614.0, 18.0], rEnkckcqSw, 5775776]
[paragraph, [74.0, 718.0, 491.0, 18.0], RR6-gpv9BG, 5775776]
[paragraph, [74.0, 745.0, 668.0, 18.0], NEGvTDj4mi, 5775776]
[paragraph, [74.0, 763.0, 668.0, 18.0], NEGvTDj4mi, 5775776]
[paragraph, [74.0, 781.0, 668.0, 18.0], NEGvTDj4mi, 5775776]
[paragraph, [76.0, 817.0, 665.0, 18.0], p7nH9pwVnJ, 5775776]
[paragraph, [76.0, 835.0, 665.0, 18.0], p7nH9pwVnJ, 5775776]
[paragraph, [74.0, 870.0, 669.0, 18.0], 2VD_cij0Mk, 5775776]
[paragraph, [74.0, 888.0, 669.0, 18.0], 2VD_cij0Mk, 5775776]
[paragraph, [74.0, 906.0, 669.0, 18.0], 2VD_cij0Mk, 5775776]
[paragraph, [74.0, 924.0, 669.0, 18.0], 2VD_cij0Mk, 5775776]
[paragraph, [74.0, 942.0, 669.0, 18.0], 2VD_cij0Mk, 5775776]
[paragraph, [74.0, 969.0, 530.0, 18.0], s8X99vsD3P, 5775776]
[paragraph, [71.0, 993.0, 676.0, 18.0], 12_t7zzTei, 5775776]
[paragraph, [71.0, 1011.0, 676.0, 18.0], 12_t7zzTei, 5775776]
[paragraph, [71.0, 1029.0, 676.0, 18.0], 12_t7zzTei, 5775776]
[paragraph, [71.0, 1047.0, 676.0, 18.0], 12_t7zzTei, 5775776]
[paragraph, [71.0, 1065.0, 676.0, 18.0], 12_t7zzTei, 5775776]
[paragraph, [71.0, 1083.0, 676.0, 18.0], 12_t7zzTei, 5775776]
[paragraph, [71.0, 1101.0, 676.0, 18.0], 12_t7zzTei, 5775776]
