[3300, 2550]
[paragraph, [442.0, 295.0, 1825.0, 52.5], shoonya_1sVJBFPX3FY3RW, 5720632]
[paragraph, [424.0, 1037.0, 1860.0, 52.5], X7-p4xzNe8, 5720632]
[paragraph, [424.0, 1089.5, 1860.0, 52.5], X7-p4xzNe8, 5720632]
[paragraph, [424.0, 1142.0, 1860.0, 52.5], X7-p4xzNe8, 5720632]
[paragraph, [424.0, 1194.5, 1860.0, 52.5], X7-p4xzNe8, 5720632]
[paragraph, [430.0, 1286.0, 1844.0, 52.5], CQkNi5q5xB, 5720632]
[paragraph, [430.0, 1338.5, 1844.0, 52.5], CQkNi5q5xB, 5720632]
[paragraph, [430.0, 1391.0, 1844.0, 52.5], CQkNi5q5xB, 5720632]
[paragraph, [430.0, 1443.5, 1844.0, 52.5], CQkNi5q5xB, 5720632]
[paragraph, [430.0, 1496.0, 1844.0, 52.5], CQkNi5q5xB, 5720632]
[paragraph, [430.0, 1548.5, 1844.0, 52.5], CQkNi5q5xB, 5720632]
[paragraph, [430.0, 1601.0, 1844.0, 52.5], CQkNi5q5xB, 5720632]
[paragraph, [430.0, 1653.5, 1844.0, 52.5], CQkNi5q5xB, 5720632]
[paragraph, [430.0, 1706.0, 1844.0, 52.5], CQkNi5q5xB, 5720632]
[ordered-list, [418.0, 1777.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 1829.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 1882.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 1934.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 1987.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2039.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2092.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2144.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2197.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2249.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2302.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2354.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2407.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2459.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2512.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2564.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2617.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2669.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2722.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2774.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2827.0, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
[ordered-list, [418.0, 2879.5, 1857.0, 52.5], 5IgTA1Azc7, 5720632]
