[1650, 1275]
[paragraph, [200.0, 129.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 165.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 201.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 237.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 273.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 309.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 345.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 381.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 417.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 453.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 489.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[paragraph, [200.0, 525.0, 871.0, 36.0], shoonya_0sFWRBDWOFQ1VQ, 5713919]
[quote, [311.0, 579.0, 345.0, 36.0], shoonya_4s9V5PYHBU1N3U, 5713919]
[quote, [311.0, 615.0, 345.0, 36.0], shoonya_4s9V5PYHBU1N3U, 5713919]
[quote, [311.0, 651.0, 345.0, 36.0], shoonya_4s9V5PYHBU1N3U, 5713919]
[paragraph, [179.0, 709.0, 907.0, 36.0], shoonya_3s6VZZCCYHMZ8R, 5713919]
[paragraph, [179.0, 745.0, 907.0, 36.0], shoonya_3s6VZZCCYHMZ8R, 5713919]
[paragraph, [179.0, 781.0, 907.0, 36.0], shoonya_3s6VZZCCYHMZ8R, 5713919]
[paragraph, [179.0, 817.0, 907.0, 36.0], shoonya_3s6VZZCCYHMZ8R, 5713919]
[paragraph, [179.0, 853.0, 907.0, 36.0], shoonya_3s6VZZCCYHMZ8R, 5713919]
[paragraph, [179.0, 889.0, 907.0, 36.0], shoonya_3s6VZZCCYHMZ8R, 5713919]
[paragraph, [179.0, 925.0, 907.0, 36.0], shoonya_3s6VZZCCYHMZ8R, 5713919]
[paragraph, [309.0, 991.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
[paragraph, [309.0, 1027.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
[paragraph, [309.0, 1063.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
[paragraph, [309.0, 1099.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
[paragraph, [309.0, 1135.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
[paragraph, [309.0, 1171.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
[paragraph, [309.0, 1207.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
[paragraph, [309.0, 1243.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
[paragraph, [309.0, 1279.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
[paragraph, [309.0, 1315.0, 463.0, 36.0], soxt4MQ_Wn, 5713919]
