[1806, 1262]
[folio, [144.0, 96.0, 510.0, 36.0], shoonya_0sWB30JZ3QCEAV, 5680903]
[paragraph, [648.0, 168.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 204.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 240.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 276.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 312.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 348.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 384.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 420.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 456.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 492.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 528.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 564.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 600.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 636.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 672.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 708.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 744.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 780.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 816.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 852.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 888.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 924.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 960.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 996.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 1032.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
[paragraph, [648.0, 1068.0, 515.0, 36.0], C1GfAI0mAW, 5680903]
