[814, 624]
[paragraph, [81.0, 56.0, 460.0, 18.0], shoonya_1sJD3L9116G4Y5, 5690451]
[paragraph, [81.0, 74.0, 460.0, 18.0], shoonya_1sJD3L9116G4Y5, 5690451]
[paragraph, [81.0, 92.0, 460.0, 18.0], shoonya_1sJD3L9116G4Y5, 5690451]
[paragraph, [81.0, 110.0, 460.0, 18.0], shoonya_1sJD3L9116G4Y5, 5690451]
[paragraph, [81.0, 128.0, 460.0, 18.0], shoonya_1sJD3L9116G4Y5, 5690451]
[paragraph, [81.0, 146.0, 460.0, 18.0], shoonya_1sJD3L9116G4Y5, 5690451]
[paragraph, [80.0, 175.0, 460.0, 18.0], shoonya_0sNELRMJ3QVRYC, 5690451]
[paragraph, [80.0, 193.0, 460.0, 18.0], shoonya_0sNELRMJ3QVRYC, 5690451]
[paragraph, [80.0, 221.0, 461.0, 18.0], shoonya_3sKMPJPV68IOAY, 5690451]
[paragraph, [80.0, 239.0, 461.0, 18.0], shoonya_3sKMPJPV68IOAY, 5690451]
[paragraph, [80.0, 257.0, 461.0, 18.0], shoonya_3sKMPJPV68IOAY, 5690451]
[paragraph, [80.0, 291.0, 461.0, 18.0], shoonya_8sO03UTT76QTOH, 5690451]
[paragraph, [80.0, 309.0, 461.0, 18.0], shoonya_8sO03UTT76QTOH, 5690451]
[paragraph, [80.0, 327.0, 461.0, 18.0], shoonya_8sO03UTT76QTOH, 5690451]
[paragraph, [81.0, 398.0, 462.0, 18.0], shoonya_5sYNYXMMJ3G6JW, 5690451]
[paragraph, [81.0, 416.0, 462.0, 18.0], shoonya_5sYNYXMMJ3G6JW, 5690451]
[paragraph, [81.0, 434.0, 462.0, 18.0], shoonya_5sYNYXMMJ3G6JW, 5690451]
[paragraph, [80.0, 468.0, 460.0, 18.0], shoonya_6sR9GI3T2N1YEO, 5690451]
[paragraph, [80.0, 486.0, 460.0, 18.0], shoonya_6sR9GI3T2N1YEO, 5690451]
[paragraph, [80.0, 504.0, 460.0, 18.0], shoonya_6sR9GI3T2N1YEO, 5690451]
[paragraph, [80.0, 522.0, 460.0, 18.0], shoonya_6sR9GI3T2N1YEO, 5690451]
[paragraph, [80.0, 540.0, 460.0, 18.0], shoonya_6sR9GI3T2N1YEO, 5690451]
[paragraph, [80.0, 597.0, 461.0, 18.0], shoonya_4sDYE72MWKCBNM, 5690451]
[paragraph, [80.0, 615.0, 461.0, 18.0], shoonya_4sDYE72MWKCBNM, 5690451]
[paragraph, [80.0, 633.0, 461.0, 18.0], shoonya_4sDYE72MWKCBNM, 5690451]
[paragraph, [80.0, 651.0, 461.0, 18.0], shoonya_4sDYE72MWKCBNM, 5690451]
[paragraph, [80.0, 669.0, 461.0, 18.0], shoonya_4sDYE72MWKCBNM, 5690451]
[paragraph, [80.0, 687.0, 461.0, 18.0], shoonya_4sDYE72MWKCBNM, 5690451]
[paragraph, [80.0, 705.0, 461.0, 18.0], shoonya_4sDYE72MWKCBNM, 5690451]
