[595, 419]
[folio, [171.0, 34.0, 91.0, 18.0], TdlmUsuGXJ, 6459320]
[paragraph, [51.0, 66.0, 331.0, 18.0], shoonya_0sYVECHVGU5M82, 6459320]
[paragraph, [51.0, 84.0, 331.0, 18.0], shoonya_0sYVECHVGU5M82, 6459320]
[paragraph, [51.0, 102.0, 331.0, 18.0], shoonya_0sYVECHVGU5M82, 6459320]
[paragraph, [51.0, 120.0, 331.0, 18.0], shoonya_0sYVECHVGU5M82, 6459320]
[paragraph, [51.0, 138.0, 331.0, 18.0], shoonya_0sYVECHVGU5M82, 6459320]
[paragraph, [51.0, 156.0, 331.0, 18.0], shoonya_0sYVECHVGU5M82, 6459320]
[paragraph, [41.0, 177.0, 339.0, 18.0], xIkGEkfxBx, 6459320]
[paragraph, [41.0, 195.0, 339.0, 18.0], xIkGEkfxBx, 6459320]
[paragraph, [41.0, 213.0, 339.0, 18.0], xIkGEkfxBx, 6459320]
[paragraph, [41.0, 231.0, 339.0, 18.0], xIkGEkfxBx, 6459320]
[paragraph, [41.0, 249.0, 339.0, 18.0], xIkGEkfxBx, 6459320]
[paragraph, [41.0, 267.0, 339.0, 18.0], xIkGEkfxBx, 6459320]
[paragraph, [41.0, 285.0, 339.0, 18.0], xIkGEkfxBx, 6459320]
[paragraph, [41.0, 303.0, 339.0, 18.0], xIkGEkfxBx, 6459320]
[paragraph, [39.0, 329.0, 341.0, 18.0], fzyVRM3HBO, 6459320]
[paragraph, [39.0, 347.0, 341.0, 18.0], fzyVRM3HBO, 6459320]
[paragraph, [39.0, 365.0, 341.0, 18.0], fzyVRM3HBO, 6459320]
[paragraph, [36.0, 397.0, 346.0, 18.0], hL2H64HECe, 6459320]
[paragraph, [36.0, 415.0, 346.0, 18.0], hL2H64HECe, 6459320]
[paragraph, [36.0, 433.0, 346.0, 18.0], hL2H64HECe, 6459320]
[paragraph, [36.0, 451.0, 346.0, 18.0], hL2H64HECe, 6459320]
[paragraph, [35.0, 486.0, 347.0, 18.0], JtDdB9U12a, 6459320]
[paragraph, [35.0, 504.0, 347.0, 18.0], JtDdB9U12a, 6459320]
[paragraph, [39.0, 533.0, 332.0, 18.0], CLjVTfDfT4, 6459320]
