[1763, 1275]
[author, [17.0, 47.0, 179.0, 36.0], RI_ab8yuHW, 5712573]
[section-title, [11.0, 84.0, 440.0, 49.5], kM2hS7sWCT, 5712573]
[paragraph, [517.0, 213.0, 502.0, 36.0], jk295u5Iwy, 5712573]
[paragraph, [517.0, 249.0, 502.0, 36.0], jk295u5Iwy, 5712573]
[paragraph, [517.0, 285.0, 502.0, 36.0], jk295u5Iwy, 5712573]
[paragraph, [517.0, 321.0, 502.0, 36.0], jk295u5Iwy, 5712573]
[paragraph, [517.0, 357.0, 502.0, 36.0], jk295u5Iwy, 5712573]
[paragraph, [517.0, 393.0, 502.0, 36.0], jk295u5Iwy, 5712573]
[paragraph, [517.0, 429.0, 502.0, 36.0], jk295u5Iwy, 5712573]
[paragraph, [9.0, 218.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [9.0, 254.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [9.0, 290.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [9.0, 326.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [9.0, 362.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [9.0, 398.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [9.0, 434.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [9.0, 470.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [9.0, 506.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [9.0, 542.0, 506.0, 36.0], shoonya_0s2M6MJ5ZEJH37, 5712573]
[paragraph, [512.0, 493.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 529.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 565.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 601.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 637.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 673.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 709.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 745.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 781.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 817.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 853.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 889.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [512.0, 925.0, 518.0, 36.0], NMxRJwO7yw, 5712573]
[paragraph, [4.0, 595.0, 511.0, 36.0], shoonya_1s2TR8AZQIZF7W, 5712573]
