[3300, 2550]
[paragraph, [282.0, 423.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 475.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 528.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 580.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 633.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 685.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 738.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 790.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 843.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 895.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 948.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1000.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1053.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1105.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1158.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1210.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1263.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1315.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1368.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1420.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1473.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1525.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1578.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1630.5, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [282.0, 1683.0, 2019.0, 52.5], shoonya_1s52TBNHWBVG2Y, 5720846]
[paragraph, [274.0, 1788.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 1840.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 1893.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 1945.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 1998.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2050.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2103.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2155.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2208.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2260.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2313.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2365.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2418.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2470.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2523.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2575.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2628.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2680.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2733.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2785.5, 2017.0, 52.5], DYQ224mU6S, 5720846]
[paragraph, [274.0, 2838.0, 2017.0, 52.5], DYQ224mU6S, 5720846]
