[792, 612]
[chapter-title, [182.0, 64.0, 255.0, 30.0], 7qiCVO7doJ, 6464810]
[chapter-title, [182.0, 94.0, 255.0, 30.0], 7qiCVO7doJ, 6464810]
[paragraph, [138.0, 175.0, 301.0, 18.0], shoonya_1s16D6IEGCL6K5, 6464810]
[paragraph, [138.0, 193.0, 301.0, 18.0], shoonya_1s16D6IEGCL6K5, 6464810]
[paragraph, [138.0, 211.0, 301.0, 18.0], shoonya_1s16D6IEGCL6K5, 6464810]
[paragraph, [134.0, 245.0, 279.0, 18.0], PYNgUC51cA, 6464810]
[paragraph, [134.0, 263.0, 279.0, 18.0], PYNgUC51cA, 6464810]
[paragraph, [134.0, 281.0, 279.0, 18.0], PYNgUC51cA, 6464810]
[paragraph, [140.0, 312.0, 255.0, 18.0], fn6NDa0Kvz, 6464810]
[paragraph, [140.0, 330.0, 255.0, 18.0], fn6NDa0Kvz, 6464810]
[paragraph, [140.0, 348.0, 255.0, 18.0], fn6NDa0Kvz, 6464810]
[paragraph, [138.0, 383.0, 266.0, 18.0], npuLHjgUXj, 6464810]
[paragraph, [138.0, 401.0, 266.0, 18.0], npuLHjgUXj, 6464810]
[paragraph, [138.0, 419.0, 266.0, 18.0], npuLHjgUXj, 6464810]
[paragraph, [138.0, 450.0, 270.0, 18.0], hDcmY7xf_V, 6464810]
[paragraph, [138.0, 468.0, 270.0, 18.0], hDcmY7xf_V, 6464810]
[paragraph, [138.0, 486.0, 270.0, 18.0], hDcmY7xf_V, 6464810]
[paragraph, [138.0, 518.0, 268.0, 18.0], QkLedNerZv, 6464810]
[paragraph, [138.0, 536.0, 268.0, 18.0], QkLedNerZv, 6464810]
[paragraph, [138.0, 554.0, 268.0, 18.0], QkLedNerZv, 6464810]
[paragraph, [134.0, 586.0, 285.0, 18.0], M2-kPBnYy5, 6464810]
[paragraph, [134.0, 604.0, 285.0, 18.0], M2-kPBnYy5, 6464810]
[paragraph, [134.0, 622.0, 285.0, 18.0], M2-kPBnYy5, 6464810]
[paragraph, [137.0, 654.0, 283.0, 18.0], 2utF9BzIcw, 6464810]
[paragraph, [137.0, 672.0, 283.0, 18.0], 2utF9BzIcw, 6464810]
