[1211, 798]
[folio, [357.0, 50.0, 102.0, 18.0], shoonya_0sBGG7J1UU5U2S, 5741388]
[folio, [357.0, 68.0, 102.0, 18.0], shoonya_0sBGG7J1UU5U2S, 5741388]
[paragraph, [59.0, 104.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 122.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 140.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 158.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 176.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 194.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 212.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 230.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 248.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 266.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 284.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 302.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 320.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 338.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 356.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 374.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 392.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 410.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 428.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 446.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 464.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 482.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 500.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 518.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 536.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 554.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 572.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 590.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 608.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 626.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 644.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 662.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 680.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 698.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 716.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 734.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 752.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 770.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 788.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 806.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 824.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 842.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 860.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 878.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 896.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 914.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 932.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 950.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [59.0, 968.0, 699.0, 18.0], shoonya_1s3JWLEN8TNAVL, 5741388]
[paragraph, [55.0, 1004.0, 698.0, 18.0], bcEdMv5Ik9, 5741388]
[paragraph, [55.0, 1022.0, 698.0, 18.0], bcEdMv5Ik9, 5741388]
[paragraph, [55.0, 1040.0, 698.0, 18.0], bcEdMv5Ik9, 5741388]
[paragraph, [55.0, 1058.0, 698.0, 18.0], bcEdMv5Ik9, 5741388]
[paragraph, [55.0, 1076.0, 698.0, 18.0], bcEdMv5Ik9, 5741388]
[paragraph, [55.0, 1094.0, 698.0, 18.0], bcEdMv5Ik9, 5741388]
[paragraph, [55.0, 1112.0, 698.0, 18.0], bcEdMv5Ik9, 5741388]
[paragraph, [55.0, 1130.0, 698.0, 18.0], bcEdMv5Ik9, 5741388]
[footnote, [420.0, 1174.0, 331.0, 18.0], zrlMWQJNBs, 5741388]
