[3300, 2550]
[paragraph, [261.0, 283.0, 2034.0, 52.5], wNrsQvovZk, 5728259]
[paragraph, [261.0, 335.5, 2034.0, 52.5], wNrsQvovZk, 5728259]
[paragraph, [261.0, 388.0, 2034.0, 52.5], wNrsQvovZk, 5728259]
[paragraph, [261.0, 440.5, 2034.0, 52.5], wNrsQvovZk, 5728259]
[paragraph, [261.0, 493.0, 2034.0, 52.5], wNrsQvovZk, 5728259]
[paragraph, [261.0, 545.5, 2034.0, 52.5], wNrsQvovZk, 5728259]
[paragraph, [261.0, 598.0, 2034.0, 52.5], wNrsQvovZk, 5728259]
[paragraph, [261.0, 650.5, 2034.0, 52.5], wNrsQvovZk, 5728259]
[paragraph, [261.0, 703.0, 2034.0, 52.5], wNrsQvovZk, 5728259]
[paragraph, [261.0, 755.5, 2034.0, 52.5], wNrsQvovZk, 5728259]
[placeholder-text, [617.0, 595.0, 490.0, 18.0], 1ajv0SGtYu, 5728259]
[placeholder-text, [617.0, 613.0, 490.0, 18.0], 1ajv0SGtYu, 5728259]
[placeholder-text, [617.0, 631.0, 490.0, 18.0], 1ajv0SGtYu, 5728259]
[placeholder-text, [617.0, 649.0, 490.0, 18.0], 1ajv0SGtYu, 5728259]
[placeholder-text, [1381.0, 598.0, 487.0, 18.0], 3XpfSWS_GS, 5728259]
[placeholder-text, [1381.0, 616.0, 487.0, 18.0], 3XpfSWS_GS, 5728259]
[placeholder-text, [1381.0, 634.0, 487.0, 18.0], 3XpfSWS_GS, 5728259]
[placeholder-text, [1381.0, 652.0, 487.0, 18.0], 3XpfSWS_GS, 5728259]
[paragraph, [270.0, 977.0, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1029.5, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1082.0, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1134.5, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1187.0, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1239.5, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1292.0, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1344.5, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1397.0, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1449.5, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1502.0, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1554.5, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1607.0, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1659.5, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1712.0, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1764.5, 2011.0, 52.5], fyrPUzbtJR, 5728259]
[paragraph, [270.0, 1984.0, 2027.0, 52.5], Wjn5Wy8M3d, 5728259]
[paragraph, [270.0, 2036.5, 2027.0, 52.5], Wjn5Wy8M3d, 5728259]
[paragraph, [270.0, 2089.0, 2027.0, 52.5], Wjn5Wy8M3d, 5728259]
[paragraph, [270.0, 2141.5, 2027.0, 52.5], Wjn5Wy8M3d, 5728259]
[paragraph, [270.0, 2194.0, 2027.0, 52.5], Wjn5Wy8M3d, 5728259]
[paragraph, [270.0, 2246.5, 2027.0, 52.5], Wjn5Wy8M3d, 5728259]
[paragraph, [270.0, 2299.0, 2027.0, 52.5], Wjn5Wy8M3d, 5728259]
[paragraph, [264.0, 2414.0, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
[paragraph, [264.0, 2466.5, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
[paragraph, [264.0, 2519.0, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
[paragraph, [264.0, 2571.5, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
[paragraph, [264.0, 2624.0, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
[paragraph, [264.0, 2676.5, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
[paragraph, [264.0, 2729.0, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
[paragraph, [264.0, 2781.5, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
[paragraph, [264.0, 2834.0, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
[paragraph, [264.0, 2886.5, 2040.0, 52.5], ZwTQVE_Udx, 5728259]
