[842, 595]
[section-title, [150.0, 190.0, 313.0, 30.0], shoonya_5s0R7KE2CGMAW3, 6513804]
[paragraph, [145.0, 247.0, 321.0, 18.0], shoonya_1sWV1GE6YY7HG9, 6513804]
[paragraph, [145.0, 265.0, 321.0, 18.0], shoonya_1sWV1GE6YY7HG9, 6513804]
[paragraph, [145.0, 283.0, 321.0, 18.0], shoonya_1sWV1GE6YY7HG9, 6513804]
[paragraph, [144.0, 494.0, 326.0, 18.0], shoonya_0sH2UUQTUW1NYG, 6513804]
[paragraph, [144.0, 512.0, 326.0, 18.0], shoonya_0sH2UUQTUW1NYG, 6513804]
[paragraph, [144.0, 530.0, 326.0, 18.0], shoonya_0sH2UUQTUW1NYG, 6513804]
[paragraph, [144.0, 548.0, 326.0, 18.0], shoonya_0sH2UUQTUW1NYG, 6513804]
[paragraph, [144.0, 566.0, 326.0, 18.0], shoonya_0sH2UUQTUW1NYG, 6513804]
[paragraph, [144.0, 584.0, 326.0, 18.0], shoonya_0sH2UUQTUW1NYG, 6513804]
[paragraph, [146.0, 606.0, 320.0, 18.0], shoonya_3s6G06DY1KDNAD, 6513804]
[paragraph, [146.0, 624.0, 320.0, 18.0], shoonya_3s6G06DY1KDNAD, 6513804]
