[2084, 2084]
[section-title, [8.0, 59.0, 1813.0, 52.5], shoonya_1sEC2IOI6W7SPK, 5716147]
[section-title, [8.0, 111.5, 1813.0, 52.5], shoonya_1sEC2IOI6W7SPK, 5716147]
[section-title, [8.0, 164.0, 1813.0, 52.5], shoonya_1sEC2IOI6W7SPK, 5716147]
[sub-section-title, [215.0, 393.0, 1802.0, 55.5], shoonya_0sGL4BIGVG8R9A, 5716147]
[sub-section-title, [215.0, 448.5, 1802.0, 55.5], shoonya_0sGL4BIGVG8R9A, 5716147]
[sub-section-title, [215.0, 504.0, 1802.0, 55.5], shoonya_0sGL4BIGVG8R9A, 5716147]
[sub-section-title, [215.0, 559.5, 1802.0, 55.5], shoonya_0sGL4BIGVG8R9A, 5716147]
[sub-section-title, [215.0, 615.0, 1802.0, 55.5], shoonya_0sGL4BIGVG8R9A, 5716147]
[footnote, [128.0, 1729.0, 1802.0, 36.0], AeFNtbXOTh, 5716147]
[footnote, [128.0, 1765.0, 1802.0, 36.0], AeFNtbXOTh, 5716147]
[footnote, [128.0, 1801.0, 1802.0, 36.0], AeFNtbXOTh, 5716147]
[footnote, [128.0, 1837.0, 1802.0, 36.0], AeFNtbXOTh, 5716147]
[footnote, [128.0, 1873.0, 1802.0, 36.0], AeFNtbXOTh, 5716147]
[footnote, [128.0, 1909.0, 1802.0, 36.0], AeFNtbXOTh, 5716147]
[footnote, [128.0, 1945.0, 1802.0, 36.0], AeFNtbXOTh, 5716147]
