[3509, 2482]
[folio, [812.0, 214.0, 515.0, 52.5], H5f4fvj-cM, 5691491]
[paragraph, [212.0, 338.0, 1019.0, 52.5], shoonya_2s0PECCFVZ3559, 5691491]
[paragraph, [269.0, 428.0, 757.0, 52.5], DVJKV8JchK, 5691491]
[paragraph, [207.0, 502.0, 1780.0, 52.5], ZrZBR7oAT2, 5691491]
[paragraph, [207.0, 554.5, 1780.0, 52.5], ZrZBR7oAT2, 5691491]
[paragraph, [207.0, 607.0, 1780.0, 52.5], ZrZBR7oAT2, 5691491]
[paragraph, [214.0, 667.0, 1811.0, 52.5], QPrOXHX6dN, 5691491]
[paragraph, [214.0, 719.5, 1811.0, 52.5], QPrOXHX6dN, 5691491]
[paragraph, [291.0, 815.0, 446.0, 52.5], lcQgUrgfEl, 5691491]
[paragraph, [270.0, 892.0, 433.0, 52.5], shoonya_1sZ38ZBRTPBM2J, 5691491]
[paragraph, [218.0, 1263.0, 1025.0, 52.5], shoonya_4sDH80DY1UG0ZO, 5691491]
[paragraph, [189.0, 1353.0, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1405.5, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1458.0, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1510.5, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1563.0, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1615.5, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1668.0, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1720.5, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1773.0, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1825.5, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [189.0, 1878.0, 1830.0, 52.5], 2HuvnYCW9e, 5691491]
[paragraph, [219.0, 1967.0, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2019.5, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2072.0, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2124.5, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2177.0, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2229.5, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2282.0, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2334.5, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2387.0, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2439.5, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2492.0, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2544.5, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2597.0, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2649.5, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2702.0, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [219.0, 2754.5, 1777.0, 52.5], shoonya_0s1I5OMV6ZFCHF, 5691491]
[paragraph, [220.0, 2841.0, 1762.0, 52.5], E6IJpbpzFy, 5691491]
[paragraph, [220.0, 2893.5, 1762.0, 52.5], E6IJpbpzFy, 5691491]
[paragraph, [220.0, 2946.0, 1762.0, 52.5], E6IJpbpzFy, 5691491]
[paragraph, [220.0, 2998.5, 1762.0, 52.5], E6IJpbpzFy, 5691491]
[paragraph, [220.0, 3051.0, 1762.0, 52.5], E6IJpbpzFy, 5691491]
[paragraph, [220.0, 3103.5, 1762.0, 52.5], E6IJpbpzFy, 5691491]
[paragraph, [220.0, 3156.0, 1762.0, 52.5], E6IJpbpzFy, 5691491]
[paragraph, [220.0, 3208.5, 1762.0, 52.5], E6IJpbpzFy, 5691491]
[paragraph, [220.0, 3261.0, 1762.0, 52.5], E6IJpbpzFy, 5691491]
