[3508, 2481]
[contact-info, [519.0, 407.0, 1489.0, 52.5], dDJpIqEd62, 6491149]
[contact-info, [519.0, 459.5, 1489.0, 52.5], dDJpIqEd62, 6491149]
[contact-info, [519.0, 512.0, 1489.0, 52.5], dDJpIqEd62, 6491149]
[contact-info, [519.0, 564.5, 1489.0, 52.5], dDJpIqEd62, 6491149]
[headline, [705.0, 805.0, 1035.0, 52.5], e0BaNwQxAl, 6491149]
[headline, [705.0, 857.5, 1035.0, 52.5], e0BaNwQxAl, 6491149]
[headline, [705.0, 910.0, 1035.0, 52.5], e0BaNwQxAl, 6491149]
[sub-headline, [189.0, 1032.0, 1240.0, 73.5], 6_07wnQH2S, 6491149]
[dateline, [211.0, 1243.0, 444.0, 52.5], 15Nh_-kcGH, 6491149]
[paragraph, [208.0, 1498.0, 494.0, 52.5], R-8nQI60fV, 6491149]
[paragraph, [202.0, 1607.0, 2086.0, 52.5], W3I-SaQNTw, 6491149]
[paragraph, [202.0, 1659.5, 2086.0, 52.5], W3I-SaQNTw, 6491149]
[paragraph, [202.0, 1712.0, 2086.0, 52.5], W3I-SaQNTw, 6491149]
[paragraph, [202.0, 1764.5, 2086.0, 52.5], W3I-SaQNTw, 6491149]
[paragraph, [202.0, 1817.0, 2086.0, 52.5], W3I-SaQNTw, 6491149]
[paragraph, [202.0, 1869.5, 2086.0, 52.5], W3I-SaQNTw, 6491149]
[ordered-list, [258.0, 1993.0, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2045.5, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2098.0, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2150.5, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2203.0, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2255.5, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2308.0, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2360.5, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2413.0, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2465.5, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2518.0, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[ordered-list, [258.0, 2570.5, 2042.0, 52.5], Mi0PFgpsel, 6491149]
[contact-info, [189.0, 2997.0, 525.0, 52.5], k-BRYx_J5d, 6491149]
[contact-info, [208.0, 3299.0, 553.0, 52.5], Um-OFZzUwh, 6491149]
