[1650, 1275]
[paragraph, [137.0, 303.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 339.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 375.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 411.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 447.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 483.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 519.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 555.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 591.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 627.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 663.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 699.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 735.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 771.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 807.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 843.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 879.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 915.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 951.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 987.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 1023.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 1059.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 1095.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 1131.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [137.0, 1167.0, 984.0, 36.0], shoonya_1sYHB8IQ7D4O83, 5778561]
[paragraph, [145.0, 1262.0, 822.0, 36.0], shoonya_3sF4PEH288IGZ1, 5778561]
[paragraph, [145.0, 1298.0, 822.0, 36.0], shoonya_3sF4PEH288IGZ1, 5778561]
[footnote, [145.0, 1418.0, 971.0, 36.0], shoonya_0sZPXIL20DRQ2C, 5778561]
[footnote, [145.0, 1454.0, 971.0, 36.0], shoonya_0sZPXIL20DRQ2C, 5778561]
