[1269, 909]
[chapter-title, [262.0, 43.0, 221.0, 30.0], shoonya_0sRO7DC1GJZ3QB, 5776099]
[paragraph, [58.0, 93.0, 638.0, 18.0], d5aapsZIff, 5776099]
[paragraph, [58.0, 111.0, 638.0, 18.0], d5aapsZIff, 5776099]
[paragraph, [58.0, 129.0, 638.0, 18.0], d5aapsZIff, 5776099]
[paragraph, [58.0, 147.0, 638.0, 18.0], d5aapsZIff, 5776099]
[paragraph, [58.0, 165.0, 638.0, 18.0], d5aapsZIff, 5776099]
[paragraph, [57.0, 198.0, 642.0, 18.0], F5rJZR-Gw5, 5776099]
[paragraph, [57.0, 216.0, 642.0, 18.0], F5rJZR-Gw5, 5776099]
[paragraph, [57.0, 234.0, 642.0, 18.0], F5rJZR-Gw5, 5776099]
[paragraph, [57.0, 252.0, 642.0, 18.0], F5rJZR-Gw5, 5776099]
[paragraph, [57.0, 270.0, 642.0, 18.0], F5rJZR-Gw5, 5776099]
[paragraph, [57.0, 294.0, 646.0, 18.0], UfLB6ZTxy3, 5776099]
[paragraph, [57.0, 312.0, 646.0, 18.0], UfLB6ZTxy3, 5776099]
[paragraph, [57.0, 330.0, 646.0, 18.0], UfLB6ZTxy3, 5776099]
[paragraph, [57.0, 348.0, 646.0, 18.0], UfLB6ZTxy3, 5776099]
[paragraph, [57.0, 366.0, 646.0, 18.0], UfLB6ZTxy3, 5776099]
[paragraph, [57.0, 384.0, 646.0, 18.0], UfLB6ZTxy3, 5776099]
[paragraph, [55.0, 398.0, 647.0, 18.0], Pi9N_MEJX0, 5776099]
[paragraph, [55.0, 416.0, 647.0, 18.0], Pi9N_MEJX0, 5776099]
[paragraph, [55.0, 434.0, 647.0, 18.0], Pi9N_MEJX0, 5776099]
[paragraph, [55.0, 452.0, 647.0, 18.0], Pi9N_MEJX0, 5776099]
[paragraph, [55.0, 470.0, 647.0, 18.0], Pi9N_MEJX0, 5776099]
[paragraph, [55.0, 488.0, 647.0, 18.0], Pi9N_MEJX0, 5776099]
[paragraph, [55.0, 506.0, 647.0, 18.0], Pi9N_MEJX0, 5776099]
[paragraph, [55.0, 524.0, 647.0, 18.0], Pi9N_MEJX0, 5776099]
[paragraph, [55.0, 545.0, 648.0, 18.0], tzBEjOzRW8, 5776099]
[paragraph, [55.0, 563.0, 648.0, 18.0], tzBEjOzRW8, 5776099]
[paragraph, [55.0, 581.0, 648.0, 18.0], tzBEjOzRW8, 5776099]
[paragraph, [55.0, 599.0, 648.0, 18.0], tzBEjOzRW8, 5776099]
[paragraph, [55.0, 617.0, 648.0, 18.0], tzBEjOzRW8, 5776099]
[paragraph, [55.0, 635.0, 648.0, 18.0], tzBEjOzRW8, 5776099]
[paragraph, [55.0, 653.0, 648.0, 18.0], tzBEjOzRW8, 5776099]
[paragraph, [55.0, 675.0, 651.0, 18.0], 0FF-Zc2CcM, 5776099]
[paragraph, [55.0, 693.0, 651.0, 18.0], 0FF-Zc2CcM, 5776099]
[paragraph, [55.0, 711.0, 651.0, 18.0], 0FF-Zc2CcM, 5776099]
[paragraph, [55.0, 729.0, 651.0, 18.0], 0FF-Zc2CcM, 5776099]
[paragraph, [55.0, 747.0, 651.0, 18.0], 0FF-Zc2CcM, 5776099]
[paragraph, [55.0, 765.0, 651.0, 18.0], 0FF-Zc2CcM, 5776099]
[paragraph, [55.0, 783.0, 651.0, 18.0], 0FF-Zc2CcM, 5776099]
[paragraph, [55.0, 801.0, 651.0, 18.0], 0FF-Zc2CcM, 5776099]
[paragraph, [55.0, 819.0, 651.0, 18.0], 0FF-Zc2CcM, 5776099]
[paragraph, [55.0, 841.0, 650.0, 18.0], m8GBIRvzqK, 5776099]
[paragraph, [55.0, 859.0, 650.0, 18.0], m8GBIRvzqK, 5776099]
[paragraph, [55.0, 877.0, 650.0, 18.0], m8GBIRvzqK, 5776099]
[paragraph, [55.0, 895.0, 650.0, 18.0], m8GBIRvzqK, 5776099]
[paragraph, [55.0, 913.0, 650.0, 18.0], m8GBIRvzqK, 5776099]
[paragraph, [55.0, 931.0, 650.0, 18.0], m8GBIRvzqK, 5776099]
[paragraph, [55.0, 949.0, 650.0, 18.0], m8GBIRvzqK, 5776099]
[paragraph, [90.0, 969.0, 164.0, 18.0], Z35F6Ywcra, 5776099]
[paragraph, [57.0, 998.0, 653.0, 18.0], BF9kG8BHGM, 5776099]
[paragraph, [57.0, 1016.0, 653.0, 18.0], BF9kG8BHGM, 5776099]
[paragraph, [57.0, 1034.0, 653.0, 18.0], BF9kG8BHGM, 5776099]
[paragraph, [57.0, 1052.0, 653.0, 18.0], BF9kG8BHGM, 5776099]
[paragraph, [57.0, 1070.0, 653.0, 18.0], BF9kG8BHGM, 5776099]
