[1275, 750]
[folio, [221.0, 92.0, 291.0, 18.0], shoonya_1s9W7HM2ASB9ZP, 5767003]
[folio, [221.0, 110.0, 291.0, 18.0], shoonya_1s9W7HM2ASB9ZP, 5767003]
[paragraph, [66.0, 145.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 163.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 181.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 199.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 217.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 235.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 253.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 271.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 289.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 307.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 325.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 343.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 361.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 379.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 397.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 415.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 433.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 451.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 469.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 487.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 505.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 523.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 541.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 559.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 577.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 595.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 613.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 631.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 649.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 667.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 685.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 703.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 721.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 739.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 757.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 775.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 793.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 811.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 829.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 847.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 865.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 883.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 901.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 919.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 937.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 955.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 973.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 991.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1009.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1027.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1045.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1063.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1081.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1099.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1117.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1135.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1153.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
[paragraph, [66.0, 1171.0, 626.0, 18.0], _M-l_B_qnA, 5767003]
