[1320, 1176]
[flag, [937.0, 55.0, 163.0, 18.0], shoonya_3sQRNHR0USZO1S, 5694441]
[flag, [937.0, 73.0, 163.0, 18.0], shoonya_3sQRNHR0USZO1S, 5694441]
[flag, [937.0, 91.0, 163.0, 18.0], shoonya_3sQRNHR0USZO1S, 5694441]
[flag, [937.0, 109.0, 163.0, 18.0], shoonya_3sQRNHR0USZO1S, 5694441]
[flag, [937.0, 127.0, 163.0, 18.0], shoonya_3sQRNHR0USZO1S, 5694441]
[flag, [937.0, 145.0, 163.0, 18.0], shoonya_3sQRNHR0USZO1S, 5694441]
[paragraph, [415.0, 182.0, 336.0, 18.0], unQQgCIu45, 5694441]
[paragraph, [415.0, 200.0, 336.0, 18.0], unQQgCIu45, 5694441]
[paragraph, [415.0, 218.0, 336.0, 18.0], unQQgCIu45, 5694441]
[paragraph, [415.0, 236.0, 336.0, 18.0], unQQgCIu45, 5694441]
[paragraph, [415.0, 254.0, 336.0, 18.0], unQQgCIu45, 5694441]
[paragraph, [415.0, 272.0, 336.0, 18.0], unQQgCIu45, 5694441]
[paragraph, [415.0, 290.0, 336.0, 18.0], unQQgCIu45, 5694441]
[paragraph, [415.0, 308.0, 336.0, 18.0], unQQgCIu45, 5694441]
[paragraph, [415.0, 326.0, 336.0, 18.0], unQQgCIu45, 5694441]
[paragraph, [759.0, 185.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 203.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 221.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 239.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 257.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 275.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 293.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 311.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 329.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 347.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 365.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 383.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 401.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 419.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 437.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 455.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 473.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 491.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 509.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 527.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 545.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 563.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 581.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 599.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 617.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 635.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[paragraph, [759.0, 653.0, 336.0, 18.0], KI7NuhzNfr, 5694441]
[chapter-title, [111.0, 203.0, 259.0, 30.0], qt2xx_dpO-, 5694441]
[author, [134.0, 253.0, 220.0, 18.0], scvkUFF4b4, 5694441]
[paragraph, [70.0, 290.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 308.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 326.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 344.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 362.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 380.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 398.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 416.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 434.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 452.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 470.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 488.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 506.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 524.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 542.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 560.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 578.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 596.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 614.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 632.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [70.0, 650.0, 335.0, 18.0], shoonya_2sRYOXJHNN5J5I, 5694441]
[paragraph, [412.0, 360.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 378.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 396.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 414.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 432.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 450.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 468.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 486.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 504.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 522.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 540.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 558.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 576.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 594.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 612.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 630.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
[paragraph, [412.0, 648.0, 339.0, 18.0], ABSmDIJnXs, 5694441]
