[1303, 909]
[chapter-title, [340.0, 77.0, 323.0, 30.0], shoonya_15sFBBPNQ418A4, 5776724]
[paragraph, [186.0, 114.0, 627.0, 18.0], shoonya_11s74FSZVYDDH5, 5776724]
[paragraph, [186.0, 132.0, 627.0, 18.0], shoonya_11s74FSZVYDDH5, 5776724]
[paragraph, [220.0, 166.0, 559.0, 18.0], shoonya_18sLP0D2OEMA31, 5776724]
[paragraph, [186.0, 193.0, 632.0, 18.0], shoonya_1sLIONWSEL8PEY, 5776724]
[paragraph, [186.0, 211.0, 632.0, 18.0], shoonya_1sLIONWSEL8PEY, 5776724]
[paragraph, [186.0, 229.0, 632.0, 18.0], shoonya_1sLIONWSEL8PEY, 5776724]
[paragraph, [186.0, 247.0, 632.0, 18.0], shoonya_1sLIONWSEL8PEY, 5776724]
[paragraph, [186.0, 265.0, 632.0, 18.0], shoonya_1sLIONWSEL8PEY, 5776724]
[paragraph, [186.0, 283.0, 632.0, 18.0], shoonya_1sLIONWSEL8PEY, 5776724]
[paragraph, [186.0, 301.0, 632.0, 18.0], shoonya_1sLIONWSEL8PEY, 5776724]
[paragraph, [186.0, 319.0, 632.0, 18.0], shoonya_1sLIONWSEL8PEY, 5776724]
[paragraph, [186.0, 337.0, 632.0, 18.0], shoonya_1sLIONWSEL8PEY, 5776724]
[paragraph, [188.0, 370.0, 626.0, 18.0], shoonya_10s1KXVINA3WAT, 5776724]
[paragraph, [188.0, 388.0, 626.0, 18.0], shoonya_10s1KXVINA3WAT, 5776724]
[paragraph, [207.0, 419.0, 413.0, 18.0], shoonya_22s3KA9FADX9VU, 5776724]
[paragraph, [189.0, 442.0, 625.0, 18.0], shoonya_2s3XNRRAWAA2U9, 5776724]
[paragraph, [189.0, 460.0, 625.0, 18.0], shoonya_2s3XNRRAWAA2U9, 5776724]
[paragraph, [189.0, 478.0, 625.0, 18.0], shoonya_2s3XNRRAWAA2U9, 5776724]
[paragraph, [189.0, 496.0, 625.0, 18.0], shoonya_2s3XNRRAWAA2U9, 5776724]
[paragraph, [189.0, 514.0, 625.0, 18.0], shoonya_2s3XNRRAWAA2U9, 5776724]
[paragraph, [189.0, 544.0, 625.0, 18.0], shoonya_7sYEKYBAMY9SDD, 5776724]
[paragraph, [189.0, 562.0, 625.0, 18.0], shoonya_7sYEKYBAMY9SDD, 5776724]
[paragraph, [189.0, 593.0, 626.0, 18.0], shoonya_4sE3CBN0M0D16A, 5776724]
[paragraph, [189.0, 611.0, 626.0, 18.0], shoonya_4sE3CBN0M0D16A, 5776724]
[paragraph, [189.0, 629.0, 626.0, 18.0], shoonya_4sE3CBN0M0D16A, 5776724]
[paragraph, [189.0, 647.0, 626.0, 18.0], shoonya_4sE3CBN0M0D16A, 5776724]
[paragraph, [190.0, 670.0, 625.0, 18.0], shoonya_0sASLRVV5HVKON, 5776724]
[paragraph, [190.0, 688.0, 625.0, 18.0], shoonya_0sASLRVV5HVKON, 5776724]
[paragraph, [190.0, 706.0, 625.0, 18.0], shoonya_0sASLRVV5HVKON, 5776724]
[paragraph, [190.0, 724.0, 625.0, 18.0], shoonya_0sASLRVV5HVKON, 5776724]
[paragraph, [190.0, 742.0, 625.0, 18.0], shoonya_0sASLRVV5HVKON, 5776724]
[paragraph, [190.0, 760.0, 625.0, 18.0], shoonya_0sASLRVV5HVKON, 5776724]
[paragraph, [207.0, 794.0, 319.0, 18.0], shoonya_5sC24NNNKC4ZXV, 5776724]
[paragraph, [210.0, 819.0, 517.0, 18.0], shoonya_6sGYUWRV67RHU6, 5776724]
[paragraph, [189.0, 846.0, 637.0, 18.0], shoonya_3s7QHVENTT4O57, 5776724]
[paragraph, [189.0, 864.0, 637.0, 18.0], shoonya_3s7QHVENTT4O57, 5776724]
[paragraph, [188.0, 890.0, 640.0, 18.0], shoonya_20sF0LK9M64IPM, 5776724]
[paragraph, [188.0, 908.0, 640.0, 18.0], shoonya_20sF0LK9M64IPM, 5776724]
[paragraph, [188.0, 926.0, 640.0, 18.0], shoonya_20sF0LK9M64IPM, 5776724]
[paragraph, [189.0, 944.0, 627.0, 18.0], shoonya_9sBPVNEKIP1GB2, 5776724]
[paragraph, [189.0, 962.0, 627.0, 18.0], shoonya_9sBPVNEKIP1GB2, 5776724]
[paragraph, [189.0, 980.0, 627.0, 18.0], shoonya_9sBPVNEKIP1GB2, 5776724]
[paragraph, [189.0, 998.0, 627.0, 18.0], shoonya_9sBPVNEKIP1GB2, 5776724]
[paragraph, [215.0, 1019.0, 245.0, 18.0], shoonya_12sXUPCNPUUVS9, 5776724]
[paragraph, [190.0, 1044.0, 623.0, 18.0], shoonya_14sHHP27KS1NV0, 5776724]
[paragraph, [190.0, 1062.0, 623.0, 18.0], shoonya_14sHHP27KS1NV0, 5776724]
[paragraph, [217.0, 1093.0, 181.0, 18.0], shoonya_13sZHL0J2BPK3P, 5776724]
