[1650, 1275]
[headline, [291.0, 262.0, 758.0, 37.5], -ftVLGJKy8, 5725671]
[headline, [291.0, 299.5, 758.0, 37.5], -ftVLGJKy8, 5725671]
[paragraph, [243.0, 414.0, 575.0, 36.0], nk1sSuDvuG, 5725671]
[paragraph, [243.0, 450.0, 575.0, 36.0], nk1sSuDvuG, 5725671]
[paragraph, [243.0, 486.0, 575.0, 36.0], nk1sSuDvuG, 5725671]
[paragraph, [243.0, 522.0, 575.0, 36.0], nk1sSuDvuG, 5725671]
[paragraph, [243.0, 558.0, 575.0, 36.0], nk1sSuDvuG, 5725671]
[paragraph, [243.0, 594.0, 575.0, 36.0], nk1sSuDvuG, 5725671]
[paragraph, [243.0, 630.0, 575.0, 36.0], nk1sSuDvuG, 5725671]
[paragraph, [245.0, 694.0, 793.0, 36.0], 8e_MAmFU29, 5725671]
[paragraph, [245.0, 730.0, 793.0, 36.0], 8e_MAmFU29, 5725671]
[paragraph, [245.0, 766.0, 793.0, 36.0], 8e_MAmFU29, 5725671]
[paragraph, [245.0, 802.0, 793.0, 36.0], 8e_MAmFU29, 5725671]
[paragraph, [245.0, 838.0, 793.0, 36.0], 8e_MAmFU29, 5725671]
[sub-headline, [562.0, 930.0, 188.0, 36.0], shoonya_1sW0HMDDKTAU1E, 5725671]
[unordered-list, [278.0, 976.0, 758.0, 36.0], nq8FWcJQ9T, 5725671]
[unordered-list, [278.0, 1012.0, 758.0, 36.0], nq8FWcJQ9T, 5725671]
[unordered-list, [278.0, 1048.0, 758.0, 36.0], nq8FWcJQ9T, 5725671]
[unordered-list, [278.0, 1084.0, 758.0, 36.0], nq8FWcJQ9T, 5725671]
[unordered-list, [278.0, 1120.0, 758.0, 36.0], nq8FWcJQ9T, 5725671]
[unordered-list, [278.0, 1156.0, 758.0, 36.0], nq8FWcJQ9T, 5725671]
