[975, 571]
[paragraph, [25.0, 74.0, 520.0, 18.0], shoonya_3s6W1CSK9QIKFT, 5776252]
[paragraph, [25.0, 92.0, 520.0, 18.0], shoonya_3s6W1CSK9QIKFT, 5776252]
[paragraph, [25.0, 110.0, 520.0, 18.0], shoonya_3s6W1CSK9QIKFT, 5776252]
[paragraph, [25.0, 128.0, 520.0, 18.0], shoonya_3s6W1CSK9QIKFT, 5776252]
[paragraph, [25.0, 146.0, 520.0, 18.0], shoonya_3s6W1CSK9QIKFT, 5776252]
[paragraph, [25.0, 164.0, 520.0, 18.0], shoonya_3s6W1CSK9QIKFT, 5776252]
[paragraph, [26.0, 194.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 212.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 230.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 248.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 266.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 284.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 302.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 320.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 338.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 356.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 374.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [26.0, 392.0, 519.0, 18.0], shoonya_0sN2UB613LAX58, 5776252]
[paragraph, [29.0, 412.0, 515.0, 18.0], shoonya_2sOI2IIAED0JVK, 5776252]
[paragraph, [29.0, 430.0, 515.0, 18.0], shoonya_2sOI2IIAED0JVK, 5776252]
[paragraph, [29.0, 448.0, 515.0, 18.0], shoonya_2sOI2IIAED0JVK, 5776252]
[paragraph, [29.0, 466.0, 515.0, 18.0], shoonya_2sOI2IIAED0JVK, 5776252]
[paragraph, [29.0, 484.0, 515.0, 18.0], shoonya_2sOI2IIAED0JVK, 5776252]
[paragraph, [29.0, 507.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 525.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 543.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 561.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 579.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 597.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 615.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 633.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 651.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 669.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 687.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [29.0, 705.0, 514.0, 18.0], shoonya_1sVHDYLNGSKAA0, 5776252]
[paragraph, [32.0, 736.0, 510.0, 18.0], shoonya_4sEG5BPB6BC7OE, 5776252]
[paragraph, [32.0, 754.0, 510.0, 18.0], shoonya_4sEG5BPB6BC7OE, 5776252]
[paragraph, [32.0, 772.0, 510.0, 18.0], shoonya_4sEG5BPB6BC7OE, 5776252]
[paragraph, [32.0, 790.0, 510.0, 18.0], shoonya_4sEG5BPB6BC7OE, 5776252]
[paragraph, [32.0, 808.0, 510.0, 18.0], shoonya_4sEG5BPB6BC7OE, 5776252]
[paragraph, [33.0, 827.0, 510.0, 18.0], shoonya_5s79HC62LCDPBX, 5776252]
[paragraph, [33.0, 845.0, 510.0, 18.0], shoonya_5s79HC62LCDPBX, 5776252]
[paragraph, [33.0, 863.0, 510.0, 18.0], shoonya_5s79HC62LCDPBX, 5776252]
[paragraph, [45.0, 884.0, 491.0, 18.0], shoonya_6sJ7QTPW3R1AYU, 5776252]
