[752, 553]
[paragraph, [49.0, 55.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 73.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 91.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 109.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 127.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 145.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 163.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 181.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 199.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 217.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 235.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 253.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [49.0, 271.0, 148.0, 18.0], shoonya_5sAA774CCRC7XC, 5713138]
[paragraph, [350.0, 58.0, 101.0, 18.0], shoonya_9sKIWGGJWKMKJS, 5713138]
[paragraph, [349.0, 86.0, 151.0, 18.0], shoonya_8sDT4XXPJ4DLJ2, 5713138]
[paragraph, [349.0, 104.0, 151.0, 18.0], shoonya_8sDT4XXPJ4DLJ2, 5713138]
[paragraph, [349.0, 122.0, 151.0, 18.0], shoonya_8sDT4XXPJ4DLJ2, 5713138]
[paragraph, [349.0, 140.0, 151.0, 18.0], shoonya_8sDT4XXPJ4DLJ2, 5713138]
[paragraph, [349.0, 158.0, 151.0, 18.0], shoonya_8sDT4XXPJ4DLJ2, 5713138]
[paragraph, [349.0, 176.0, 151.0, 18.0], shoonya_8sDT4XXPJ4DLJ2, 5713138]
[paragraph, [349.0, 194.0, 151.0, 18.0], shoonya_8sDT4XXPJ4DLJ2, 5713138]
[paragraph, [349.0, 212.0, 151.0, 18.0], shoonya_8sDT4XXPJ4DLJ2, 5713138]
[paragraph, [349.0, 230.0, 151.0, 18.0], shoonya_8sDT4XXPJ4DLJ2, 5713138]
[section-title, [236.0, 240.0, 82.0, 30.0], NiE-T7Ikit, 5713138]
[section-title, [236.0, 270.0, 82.0, 30.0], NiE-T7Ikit, 5713138]
[section-title, [236.0, 300.0, 82.0, 30.0], NiE-T7Ikit, 5713138]
[paragraph, [347.0, 266.0, 155.0, 18.0], shoonya_6sS0W0HP1SUQDG, 5713138]
[paragraph, [347.0, 284.0, 155.0, 18.0], shoonya_6sS0W0HP1SUQDG, 5713138]
[paragraph, [347.0, 302.0, 155.0, 18.0], shoonya_6sS0W0HP1SUQDG, 5713138]
[paragraph, [347.0, 320.0, 155.0, 18.0], shoonya_6sS0W0HP1SUQDG, 5713138]
[paragraph, [347.0, 338.0, 155.0, 18.0], shoonya_6sS0W0HP1SUQDG, 5713138]
[paragraph, [347.0, 356.0, 155.0, 18.0], shoonya_6sS0W0HP1SUQDG, 5713138]
[paragraph, [347.0, 374.0, 155.0, 18.0], shoonya_6sS0W0HP1SUQDG, 5713138]
[paragraph, [48.0, 291.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 309.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 327.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 345.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 363.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 381.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 399.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 417.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 435.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 453.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 471.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 489.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [48.0, 507.0, 152.0, 18.0], shoonya_2sS4HDBQJM77BV, 5713138]
[paragraph, [202.0, 369.0, 131.0, 18.0], shoonya_3s0Z374XO4OEJ5, 5713138]
