[792, 612]
[paragraph, [361.0, 63.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [361.0, 81.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [361.0, 99.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [361.0, 117.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [361.0, 135.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [361.0, 153.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [361.0, 171.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [361.0, 189.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [361.0, 207.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [361.0, 225.0, 191.0, 18.0], shoonya_3sRBDZEMR13E02, 5654510]
[paragraph, [56.0, 64.0, 223.0, 18.0], shoonya_0sDY1Y0WVHPFQ0, 5654510]
[paragraph, [56.0, 82.0, 223.0, 18.0], shoonya_0sDY1Y0WVHPFQ0, 5654510]
[paragraph, [56.0, 100.0, 223.0, 18.0], shoonya_0sDY1Y0WVHPFQ0, 5654510]
[paragraph, [56.0, 118.0, 223.0, 18.0], shoonya_0sDY1Y0WVHPFQ0, 5654510]
[paragraph, [56.0, 136.0, 223.0, 18.0], shoonya_0sDY1Y0WVHPFQ0, 5654510]
[paragraph, [56.0, 154.0, 223.0, 18.0], shoonya_0sDY1Y0WVHPFQ0, 5654510]
[paragraph, [56.0, 172.0, 223.0, 18.0], shoonya_0sDY1Y0WVHPFQ0, 5654510]
[paragraph, [57.0, 215.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 233.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 251.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 269.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 287.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 305.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 323.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 341.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 359.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 377.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 395.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 413.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 431.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [57.0, 449.0, 222.0, 18.0], shoonya_1sIN0S9KVFE8XP, 5654510]
[paragraph, [361.0, 269.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 287.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 305.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 323.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 341.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 359.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 377.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 395.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 413.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 431.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [361.0, 449.0, 190.0, 18.0], shoonya_4sGDNZDEY5W63Q, 5654510]
[paragraph, [146.0, 543.0, 405.0, 18.0], shoonya_2sJS386OS6M84A, 5654510]
[paragraph, [146.0, 561.0, 405.0, 18.0], shoonya_2sJS386OS6M84A, 5654510]
[paragraph, [146.0, 579.0, 405.0, 18.0], shoonya_2sJS386OS6M84A, 5654510]
[paragraph, [146.0, 597.0, 405.0, 18.0], shoonya_2sJS386OS6M84A, 5654510]
[paragraph, [146.0, 615.0, 405.0, 18.0], shoonya_2sJS386OS6M84A, 5654510]
[paragraph, [146.0, 633.0, 405.0, 18.0], shoonya_2sJS386OS6M84A, 5654510]
[paragraph, [146.0, 651.0, 405.0, 18.0], shoonya_2sJS386OS6M84A, 5654510]
[paragraph, [146.0, 669.0, 405.0, 18.0], shoonya_2sJS386OS6M84A, 5654510]
[folio, [74.0, 736.0, 58.0, 18.0], gPvnWhM2Ro, 5654510]
