[789, 571]
[folio, [240.0, 46.0, 110.0, 18.0], shoonya_0sBTSPXUY9VEZ9, 5701720]
[paragraph, [105.0, 84.0, 307.0, 18.0], shoonya_5sLVPLEQMAJ45L, 5701720]
[paragraph, [62.0, 112.0, 459.0, 18.0], shoonya_1sC63K8QCHUARB, 5701720]
[paragraph, [62.0, 130.0, 459.0, 18.0], shoonya_1sC63K8QCHUARB, 5701720]
[paragraph, [62.0, 148.0, 459.0, 18.0], shoonya_1sC63K8QCHUARB, 5701720]
[paragraph, [103.0, 182.0, 178.0, 18.0], shoonya_3sTY5NAIW2QR1Q, 5701720]
[paragraph, [43.0, 204.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 222.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 240.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 258.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 276.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 294.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 312.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 330.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 348.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 366.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 384.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 402.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 420.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 438.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 456.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 474.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 492.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 510.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 528.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 546.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 564.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 582.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 600.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 618.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 636.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 654.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 672.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
[paragraph, [43.0, 690.0, 479.0, 18.0], shoonya_2s9G61FTLVPNXM, 5701720]
