[1755, 1240]
[section-title, [404.0, 148.0, 413.0, 49.5], 7YUPAXiP-9, 5705289]
[section-title, [404.0, 197.5, 413.0, 49.5], 7YUPAXiP-9, 5705289]
[paragraph, [95.0, 1249.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
[paragraph, [95.0, 1285.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
[paragraph, [95.0, 1321.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
[paragraph, [95.0, 1357.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
[paragraph, [95.0, 1393.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
[paragraph, [95.0, 1429.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
[paragraph, [95.0, 1465.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
[paragraph, [95.0, 1501.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
[paragraph, [95.0, 1537.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
[paragraph, [95.0, 1573.0, 1049.0, 36.0], shoonya_3sHDUSZ3OZHJLT, 5705289]
