[2339, 1654]
[folio, [136.0, 48.0, 254.0, 36.0], shoonya_0s00FIEV2FFY06, 5750950]
[paragraph, [265.0, 95.0, 1175.0, 36.0], IwQ1qTPhx8, 5750950]
[paragraph, [265.0, 131.0, 1175.0, 36.0], IwQ1qTPhx8, 5750950]
[paragraph, [265.0, 167.0, 1175.0, 36.0], IwQ1qTPhx8, 5750950]
[paragraph, [265.0, 203.0, 1175.0, 36.0], IwQ1qTPhx8, 5750950]
[paragraph, [265.0, 239.0, 1175.0, 36.0], IwQ1qTPhx8, 5750950]
[paragraph, [265.0, 275.0, 1175.0, 36.0], IwQ1qTPhx8, 5750950]
[paragraph, [265.0, 311.0, 1175.0, 36.0], IwQ1qTPhx8, 5750950]
[reference, [1046.0, 376.0, 392.0, 36.0], shoonya_1sGSZYZKWE6JWQ, 5750950]
[paragraph, [111.0, 424.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 460.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 496.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 532.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 568.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 604.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 640.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 676.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 712.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 748.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 784.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 820.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 856.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 892.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 928.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 964.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1000.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1036.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1072.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1108.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1144.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1180.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1216.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1252.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1288.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1324.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1360.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1396.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1432.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1468.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1504.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1540.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1576.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1612.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1648.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1684.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1720.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1756.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1792.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1828.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1864.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1900.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1936.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 1972.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 2008.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 2044.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 2080.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 2116.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 2152.0, 1467.0, 36.0], rynzblsAWt, 5750950]
[paragraph, [111.0, 2188.0, 1467.0, 36.0], rynzblsAWt, 5750950]
