[2339, 1654]
[paragraph, [265.0, 188.0, 843.0, 36.0], esj8MTDwBv, 5751241]
[paragraph, [265.0, 224.0, 843.0, 36.0], esj8MTDwBv, 5751241]
[paragraph, [265.0, 319.0, 420.0, 36.0], ARlKoiJcuq, 5751241]
[paragraph, [265.0, 355.0, 420.0, 36.0], ARlKoiJcuq, 5751241]
[paragraph, [176.0, 426.0, 1297.0, 36.0], VvdOrIpvEz, 5751241]
[paragraph, [176.0, 462.0, 1297.0, 36.0], VvdOrIpvEz, 5751241]
[paragraph, [176.0, 498.0, 1297.0, 36.0], VvdOrIpvEz, 5751241]
[paragraph, [176.0, 534.0, 1297.0, 36.0], VvdOrIpvEz, 5751241]
[paragraph, [275.0, 638.0, 903.0, 36.0], myl20u-K4b, 5751241]
[paragraph, [275.0, 674.0, 903.0, 36.0], myl20u-K4b, 5751241]
[paragraph, [275.0, 766.0, 938.0, 36.0], sVp2ntYD_u, 5751241]
[paragraph, [275.0, 802.0, 938.0, 36.0], sVp2ntYD_u, 5751241]
[paragraph, [281.0, 888.0, 364.0, 36.0], 0087FlHQ33, 5751241]
[paragraph, [184.0, 1002.0, 1284.0, 36.0], shoonya_2s8ZG2L1175CBW, 5751241]
[paragraph, [184.0, 1038.0, 1284.0, 36.0], shoonya_2s8ZG2L1175CBW, 5751241]
[paragraph, [184.0, 1074.0, 1284.0, 36.0], shoonya_2s8ZG2L1175CBW, 5751241]
[paragraph, [184.0, 1110.0, 1284.0, 36.0], shoonya_2s8ZG2L1175CBW, 5751241]
[paragraph, [282.0, 1211.0, 1058.0, 36.0], shoonya_3sRQ9ZRNLCQRIB, 5751241]
[paragraph, [282.0, 1247.0, 1058.0, 36.0], shoonya_3sRQ9ZRNLCQRIB, 5751241]
[paragraph, [282.0, 1283.0, 1058.0, 36.0], shoonya_3sRQ9ZRNLCQRIB, 5751241]
[paragraph, [282.0, 1319.0, 1058.0, 36.0], shoonya_3sRQ9ZRNLCQRIB, 5751241]
[paragraph, [282.0, 1355.0, 1058.0, 36.0], shoonya_3sRQ9ZRNLCQRIB, 5751241]
[paragraph, [282.0, 1391.0, 1058.0, 36.0], shoonya_3sRQ9ZRNLCQRIB, 5751241]
[paragraph, [282.0, 1427.0, 1058.0, 36.0], shoonya_3sRQ9ZRNLCQRIB, 5751241]
[paragraph, [282.0, 1463.0, 1058.0, 36.0], shoonya_3sRQ9ZRNLCQRIB, 5751241]
[paragraph, [282.0, 1499.0, 1058.0, 36.0], shoonya_3sRQ9ZRNLCQRIB, 5751241]
[paragraph, [185.0, 1572.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1608.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1644.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1680.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1716.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1752.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1788.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1824.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1860.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1896.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1932.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 1968.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 2004.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[paragraph, [185.0, 2040.0, 1289.0, 36.0], shoonya_0sE5AHZXT289J6, 5751241]
[folio, [184.0, 2162.0, 265.0, 36.0], A647mGuT7x, 5751241]
