[1755, 1241]
[folio, [156.0, 202.0, 269.0, 36.0], dLJ5yaNKnd, 5760298]
[paragraph, [147.0, 280.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 316.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 352.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 388.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 424.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 460.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 496.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 532.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 568.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 604.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 640.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 676.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 712.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 748.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 784.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 820.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 856.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 892.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 928.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 964.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 1000.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 1036.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [147.0, 1072.0, 864.0, 36.0], W-s_XDnNA3, 5760298]
[paragraph, [149.0, 1136.0, 856.0, 36.0], shoonya_1sV0OR1TJSCQDH, 5760298]
[paragraph, [149.0, 1172.0, 856.0, 36.0], shoonya_1sV0OR1TJSCQDH, 5760298]
[paragraph, [149.0, 1208.0, 856.0, 36.0], shoonya_1sV0OR1TJSCQDH, 5760298]
[paragraph, [149.0, 1244.0, 856.0, 36.0], shoonya_1sV0OR1TJSCQDH, 5760298]
[paragraph, [138.0, 1307.0, 864.0, 36.0], 4ZoCloj92z, 5760298]
[paragraph, [138.0, 1343.0, 864.0, 36.0], 4ZoCloj92z, 5760298]
[paragraph, [138.0, 1379.0, 864.0, 36.0], 4ZoCloj92z, 5760298]
[paragraph, [138.0, 1415.0, 864.0, 36.0], 4ZoCloj92z, 5760298]
[paragraph, [138.0, 1451.0, 864.0, 36.0], 4ZoCloj92z, 5760298]
[paragraph, [138.0, 1487.0, 864.0, 36.0], 4ZoCloj92z, 5760298]
[paragraph, [138.0, 1523.0, 864.0, 36.0], 4ZoCloj92z, 5760298]
[paragraph, [138.0, 1559.0, 864.0, 36.0], 4ZoCloj92z, 5760298]
