[1951, 1219]
[folio, [219.0, 118.0, 205.0, 36.0], tOIs_v0wYc, 5682867]
[paragraph, [121.0, 213.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 249.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 285.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 321.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 357.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 393.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 429.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 465.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 501.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 537.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 573.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 609.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 645.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 681.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 717.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 753.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 789.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 825.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 861.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 897.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 933.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 969.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 1005.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 1041.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 1077.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 1113.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [121.0, 1149.0, 967.0, 36.0], s5AvNPt5Sm, 5682867]
[paragraph, [118.0, 1196.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1232.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1268.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1304.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1340.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1376.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1412.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1448.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1484.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1520.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1556.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1592.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1628.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1664.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1700.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1736.0, 975.0, 36.0], LuznuyLDxW, 5682867]
[paragraph, [118.0, 1772.0, 975.0, 36.0], LuznuyLDxW, 5682867]
