[1755, 1240]
[paragraph, [231.0, 223.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 259.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 295.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 331.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 367.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 403.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 439.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 475.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 511.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 547.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 583.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 619.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 655.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 691.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 727.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 763.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 799.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 835.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 871.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 907.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 943.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 979.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 1015.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 1051.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 1087.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 1123.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 1159.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 1195.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [231.0, 1231.0, 777.0, 36.0], shoonya_0sIITMQWTYYTNR, 5743675]
[paragraph, [229.0, 1285.0, 796.0, 36.0], cI8oGwXT_e, 5743675]
[paragraph, [229.0, 1321.0, 796.0, 36.0], cI8oGwXT_e, 5743675]
[paragraph, [229.0, 1357.0, 796.0, 36.0], cI8oGwXT_e, 5743675]
[paragraph, [229.0, 1393.0, 796.0, 36.0], cI8oGwXT_e, 5743675]
[paragraph, [229.0, 1429.0, 796.0, 36.0], cI8oGwXT_e, 5743675]
[folio, [325.0, 1495.0, 534.0, 36.0], shoonya_1sLRUXMNC9GXFB, 5743675]
