[3508, 2480]
[folio, [1642.0, 284.0, 675.0, 52.5], D04w_Rn4KO, 5728036]
[website-link, [235.0, 291.0, 499.0, 18.0], k-NQG-t6aw, 5728036]
[website-link, [235.0, 309.0, 499.0, 18.0], k-NQG-t6aw, 5728036]
[website-link, [235.0, 327.0, 499.0, 18.0], k-NQG-t6aw, 5728036]
[website-link, [235.0, 345.0, 499.0, 18.0], k-NQG-t6aw, 5728036]
[website-link, [232.0, 372.0, 494.0, 18.0], GI-SeJo2-G, 5728036]
[website-link, [232.0, 390.0, 494.0, 18.0], GI-SeJo2-G, 5728036]
[website-link, [232.0, 408.0, 494.0, 18.0], GI-SeJo2-G, 5728036]
[folio, [1646.0, 426.0, 734.0, 52.5], GgAPzdTV51, 5728036]
[website-link, [247.0, 439.0, 472.0, 18.0], hgLBPQqJQy, 5728036]
[website-link, [247.0, 457.0, 472.0, 18.0], hgLBPQqJQy, 5728036]
[website-link, [247.0, 475.0, 472.0, 18.0], hgLBPQqJQy, 5728036]
[flag, [631.0, 766.0, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[flag, [631.0, 818.5, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[flag, [631.0, 871.0, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[flag, [631.0, 923.5, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[flag, [631.0, 976.0, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[flag, [631.0, 1028.5, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[flag, [631.0, 1081.0, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[flag, [631.0, 1133.5, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[flag, [631.0, 1186.0, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[flag, [631.0, 1238.5, 1213.0, 52.5], shoonya_1s0J0SZ47PVBYI, 5728036]
[author, [598.0, 1372.0, 1270.0, 52.5], 700SSDZeVf, 5728036]
[author, [598.0, 1424.5, 1270.0, 52.5], 700SSDZeVf, 5728036]
[author, [598.0, 1477.0, 1270.0, 52.5], 700SSDZeVf, 5728036]
[author, [598.0, 1529.5, 1270.0, 52.5], 700SSDZeVf, 5728036]
[dateline, [793.0, 1729.0, 787.0, 52.5], CEmVc_-bN7, 5728036]
[dateline, [793.0, 1781.5, 787.0, 52.5], CEmVc_-bN7, 5728036]
[dateline, [793.0, 1834.0, 787.0, 52.5], CEmVc_-bN7, 5728036]
[dateline, [136.0, 1899.0, 483.0, 52.5], xkPqypUC_L, 5728036]
[dateline, [136.0, 1951.5, 483.0, 52.5], xkPqypUC_L, 5728036]
[dateline, [136.0, 2004.0, 483.0, 52.5], xkPqypUC_L, 5728036]
[dateline, [1773.0, 1899.0, 443.0, 52.5], zn7PYrac_k, 5728036]
[dateline, [1773.0, 1951.5, 443.0, 52.5], zn7PYrac_k, 5728036]
[dateline, [1773.0, 2004.0, 443.0, 52.5], zn7PYrac_k, 5728036]
[folio, [1856.0, 2079.0, 328.0, 52.5], SXulOMCeMc, 5728036]
[folio, [1856.0, 2131.5, 328.0, 52.5], SXulOMCeMc, 5728036]
[folio, [1856.0, 2184.0, 328.0, 52.5], SXulOMCeMc, 5728036]
[folio, [1856.0, 2236.5, 328.0, 52.5], SXulOMCeMc, 5728036]
[folio, [207.0, 2101.0, 288.0, 52.5], gp-gbJKUQV, 5728036]
[folio, [207.0, 2153.5, 288.0, 52.5], gp-gbJKUQV, 5728036]
[folio, [207.0, 2206.0, 288.0, 52.5], gp-gbJKUQV, 5728036]
[section-title, [1072.0, 2260.0, 324.0, 93.0], shoonya_4sRFKMPJGXVPW8, 5728036]
[headline, [477.0, 2394.0, 1500.0, 52.5], aSNp0aZweQ, 5728036]
[headline, [477.0, 2446.5, 1500.0, 52.5], aSNp0aZweQ, 5728036]
[headline, [477.0, 2499.0, 1500.0, 52.5], aSNp0aZweQ, 5728036]
[folio, [990.0, 2802.0, 504.0, 52.5], shoonya_3s5KV1S62YMC35, 5728036]
[folio, [990.0, 2854.5, 504.0, 52.5], shoonya_3s5KV1S62YMC35, 5728036]
[folio, [990.0, 2907.0, 504.0, 52.5], shoonya_3s5KV1S62YMC35, 5728036]
[folio, [990.0, 2959.5, 504.0, 52.5], shoonya_3s5KV1S62YMC35, 5728036]
[contact-info, [1683.0, 3281.0, 204.0, 52.5], eGgFtNDzDC, 5728036]
[contact-info, [1683.0, 3333.5, 204.0, 52.5], eGgFtNDzDC, 5728036]
[contact-info, [1683.0, 3386.0, 204.0, 52.5], eGgFtNDzDC, 5728036]
[footnote, [215.0, 3333.0, 982.0, 52.5], shoonya_2s85ERCUOSI784, 5728036]
[footnote, [215.0, 3385.5, 982.0, 52.5], shoonya_2s85ERCUOSI784, 5728036]
[website-link, [740.0, 3380.0, 440.0, 18.0], oCTPoyE0td, 5728036]
[website-link, [740.0, 3398.0, 440.0, 18.0], oCTPoyE0td, 5728036]
[website-link, [740.0, 3416.0, 440.0, 18.0], oCTPoyE0td, 5728036]
