[1300, 900]
[folio, [311.0, 40.0, 258.0, 18.0], BkXEtCljm3, 5731597]
[folio, [311.0, 58.0, 258.0, 18.0], BkXEtCljm3, 5731597]
[paragraph, [91.0, 107.0, 136.0, 18.0], shoonya_3s4E3YTM5FSIYY, 5731597]
[paragraph, [91.0, 125.0, 136.0, 18.0], shoonya_3s4E3YTM5FSIYY, 5731597]
[paragraph, [92.0, 150.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 168.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 186.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 204.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 222.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 240.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 258.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 276.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 294.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 312.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 330.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 348.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 366.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 384.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 402.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 420.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 438.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 456.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 474.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 492.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 510.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 528.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 546.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
[paragraph, [92.0, 564.0, 703.0, 18.0], shoonya_1sKQQK61NH5ZOI, 5731597]
