[842, 595]
[paragraph, [109.0, 37.0, 325.0, 18.0], EMi-dB_Pye, 6459665]
[paragraph, [109.0, 55.0, 325.0, 18.0], EMi-dB_Pye, 6459665]
[paragraph, [109.0, 73.0, 325.0, 18.0], EMi-dB_Pye, 6459665]
[paragraph, [97.0, 71.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 89.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 107.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 125.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 143.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 161.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 179.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 197.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 215.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 233.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 251.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 269.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 287.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 305.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 323.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 341.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 359.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 377.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 395.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 413.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 431.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [97.0, 449.0, 406.0, 18.0], R39FLVD2WC, 6459665]
[paragraph, [100.0, 463.0, 399.0, 18.0], 8NksKasb4c, 6459665]
[paragraph, [100.0, 481.0, 399.0, 18.0], 8NksKasb4c, 6459665]
[paragraph, [100.0, 499.0, 399.0, 18.0], 8NksKasb4c, 6459665]
[paragraph, [100.0, 517.0, 399.0, 18.0], 8NksKasb4c, 6459665]
[paragraph, [100.0, 535.0, 399.0, 18.0], 8NksKasb4c, 6459665]
[paragraph, [100.0, 553.0, 399.0, 18.0], 8NksKasb4c, 6459665]
[paragraph, [100.0, 571.0, 399.0, 18.0], 8NksKasb4c, 6459665]
[paragraph, [100.0, 589.0, 399.0, 18.0], 8NksKasb4c, 6459665]
[paragraph, [90.0, 591.0, 412.0, 18.0], Rrm9fiWL77, 6459665]
[paragraph, [90.0, 609.0, 412.0, 18.0], Rrm9fiWL77, 6459665]
[paragraph, [90.0, 627.0, 412.0, 18.0], Rrm9fiWL77, 6459665]
[paragraph, [90.0, 645.0, 412.0, 18.0], Rrm9fiWL77, 6459665]
[paragraph, [90.0, 663.0, 412.0, 18.0], Rrm9fiWL77, 6459665]
[paragraph, [90.0, 681.0, 412.0, 18.0], Rrm9fiWL77, 6459665]
[paragraph, [90.0, 699.0, 412.0, 18.0], Rrm9fiWL77, 6459665]
[folio, [501.0, 812.0, 80.0, 18.0], oaCkiEYObN, 6459665]
