[1162, 749]
[folio, [306.0, 85.0, 153.0, 18.0], shoonya_1sE538YPLHFIC5, 5700138]
[paragraph, [86.0, 130.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 148.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 166.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 184.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 202.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 220.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 238.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 256.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 274.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 292.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 310.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 328.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 346.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 364.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 382.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 400.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [86.0, 418.0, 590.0, 18.0], shoonya_0sFXLP0FASH89X, 5700138]
[paragraph, [87.0, 443.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 461.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 479.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 497.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 515.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 533.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 551.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 569.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 587.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 605.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 623.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 641.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 659.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 677.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [87.0, 695.0, 586.0, 18.0], shoonya_4s0WUT1QTG1JJ9, 5700138]
[paragraph, [88.0, 720.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 738.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 756.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 774.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 792.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 810.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 828.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 846.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 864.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 882.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 900.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 918.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 936.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 954.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 972.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 990.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 1008.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 1026.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 1044.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
[paragraph, [88.0, 1062.0, 587.0, 18.0], shoonya_2sJIALZX0GFEP4, 5700138]
