[1350, 975]
[unordered-list, [109.0, 105.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 123.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 141.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 159.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 177.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 195.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 213.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 231.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 249.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 267.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 285.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 303.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 321.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 339.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 357.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 375.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 393.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 411.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[unordered-list, [109.0, 429.0, 759.0, 18.0], shoonya_0sNJ3AUMIPCEJG, 6473804]
[section-title, [108.0, 474.0, 144.0, 30.0], shoonya_3sE9PMYKZ3FJV7, 6473804]
[unordered-list, [109.0, 517.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 535.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 553.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 571.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 589.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 607.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 625.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 643.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 661.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 679.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 697.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 715.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 733.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 751.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 769.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 787.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 805.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 823.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 841.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 859.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 877.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 895.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 913.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 931.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 949.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 967.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 985.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 1003.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 1021.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 1039.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 1057.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 1075.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 1093.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 1111.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
[unordered-list, [109.0, 1129.0, 761.0, 18.0], shoonya_1sE3FF1TX2NZLU, 6473804]
