[3300, 2550]
[paragraph, [273.0, 261.0, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 313.5, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 366.0, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 418.5, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 471.0, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 523.5, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 576.0, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 628.5, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 681.0, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 733.5, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [273.0, 786.0, 2003.0, 52.5], shoonya_1sURJN1ZIG2I60, 5720369]
[paragraph, [277.0, 879.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 931.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 984.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1036.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1089.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1141.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1194.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1246.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1299.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1351.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1404.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1456.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1509.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1561.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1614.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1666.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1719.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1771.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1824.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1876.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1929.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 1981.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2034.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2086.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2139.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2191.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2244.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2296.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2349.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2401.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2454.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2506.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2559.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2611.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2664.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2716.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2769.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2821.5, 2011.0, 52.5], _gEfGAODaM, 5720369]
[paragraph, [277.0, 2874.0, 2011.0, 52.5], _gEfGAODaM, 5720369]
