[854, 612]
[folio, [222.0, 35.0, 146.0, 18.0], shoonya_3s6C3VVMDSR2RG, 6459454]
[paragraph, [79.0, 84.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 102.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 120.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 138.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 156.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 174.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 192.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 210.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 228.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 246.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 264.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 282.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 300.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 318.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 336.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 354.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 372.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 390.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 408.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 426.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 444.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 462.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 480.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 498.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 516.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 534.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 552.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 570.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 588.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 606.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 624.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 642.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 660.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 678.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [79.0, 696.0, 434.0, 18.0], shoonya_0sAE7QLGNS93NY, 6459454]
[paragraph, [80.0, 716.0, 436.0, 18.0], shoonya_1sRD6V7W57NZ4X, 6459454]
[paragraph, [80.0, 734.0, 436.0, 18.0], shoonya_1sRD6V7W57NZ4X, 6459454]
[paragraph, [80.0, 752.0, 436.0, 18.0], shoonya_1sRD6V7W57NZ4X, 6459454]
