[681, 511]
[paragraph, [33.0, 81.0, 443.0, 18.0], shoonya_4sTRPCOTQ8E1US, 5761447]
[paragraph, [33.0, 99.0, 443.0, 18.0], shoonya_4sTRPCOTQ8E1US, 5761447]
[paragraph, [33.0, 117.0, 443.0, 18.0], shoonya_4sTRPCOTQ8E1US, 5761447]
[paragraph, [33.0, 142.0, 445.0, 18.0], shoonya_3sHR4TMI2Z74C7, 5761447]
[paragraph, [33.0, 160.0, 445.0, 18.0], shoonya_3sHR4TMI2Z74C7, 5761447]
[paragraph, [33.0, 178.0, 445.0, 18.0], shoonya_3sHR4TMI2Z74C7, 5761447]
[paragraph, [33.0, 196.0, 445.0, 18.0], shoonya_3sHR4TMI2Z74C7, 5761447]
[paragraph, [33.0, 214.0, 445.0, 18.0], shoonya_3sHR4TMI2Z74C7, 5761447]
[paragraph, [33.0, 243.0, 444.0, 18.0], shoonya_2sQKBZIYOIT6BH, 5761447]
[paragraph, [33.0, 261.0, 444.0, 18.0], shoonya_2sQKBZIYOIT6BH, 5761447]
[paragraph, [33.0, 279.0, 444.0, 18.0], shoonya_2sQKBZIYOIT6BH, 5761447]
[paragraph, [33.0, 297.0, 444.0, 18.0], shoonya_2sQKBZIYOIT6BH, 5761447]
[paragraph, [33.0, 315.0, 444.0, 18.0], shoonya_2sQKBZIYOIT6BH, 5761447]
[paragraph, [33.0, 345.0, 444.0, 18.0], shoonya_0sT4T3ZF3BT5I4, 5761447]
[paragraph, [33.0, 363.0, 444.0, 18.0], shoonya_0sT4T3ZF3BT5I4, 5761447]
[paragraph, [33.0, 381.0, 444.0, 18.0], shoonya_0sT4T3ZF3BT5I4, 5761447]
[paragraph, [33.0, 399.0, 444.0, 18.0], shoonya_0sT4T3ZF3BT5I4, 5761447]
[paragraph, [33.0, 432.0, 445.0, 18.0], shoonya_1sUD9PT7YZUUF8, 5761447]
[paragraph, [33.0, 450.0, 445.0, 18.0], shoonya_1sUD9PT7YZUUF8, 5761447]
[paragraph, [33.0, 468.0, 445.0, 18.0], shoonya_1sUD9PT7YZUUF8, 5761447]
[paragraph, [33.0, 486.0, 445.0, 18.0], shoonya_1sUD9PT7YZUUF8, 5761447]
[paragraph, [33.0, 504.0, 445.0, 18.0], shoonya_1sUD9PT7YZUUF8, 5761447]
[paragraph, [32.0, 546.0, 446.0, 18.0], shoonya_5sAVJTWAWCVJKA, 5761447]
[paragraph, [32.0, 564.0, 446.0, 18.0], shoonya_5sAVJTWAWCVJKA, 5761447]
[paragraph, [32.0, 582.0, 446.0, 18.0], shoonya_5sAVJTWAWCVJKA, 5761447]
[paragraph, [32.0, 600.0, 446.0, 18.0], shoonya_5sAVJTWAWCVJKA, 5761447]
